sufix,count
johpe,1943
eto,343
oeto,310
pary,1138
apary,440
tapary,440
ohtao,6164
kohtao,3949
ykohtao,3043
yrykõ,11375
pyrykõ,10206
hpyrykõ,2117
pohpyry,2060
rume,2698
urume,2669
purume,53
upurume,39
sary,1579
pohse,285
ypohse,86
typohse,72
oxi,1361
koxi,1212
akoxi,423
zakoxi,188
ozakoxi,188
ye,3366
kye,1771
ãkye,1723
yryme,7726
myryme,1842
ymyryme,1830
yi,1321
pyi,1054
apyi,1050
ka,8938
aka,7995
yse,280
nao,275
ukõ,2140
rukõ,1888
urukõ,1888
murukõ,773
umurukõ,96
rohse,1170
orohse,961
porohse,954
taka,2015
ataka,1028
pataka,933
xo,5515
hxo,5433
ehxo,3892
mehxo,2983
atohme,5357
ãkõ,5445
rãkõ,506
arãkõ,19
karãkõ,19
akarãkõ,19
orykõ,1554
rorykõ,433
arorykõ,352
ouse,87
otohme,4025
rotohme,1391
atu,1830
ratu,359
aratu,352
taratu,304
xtaratu,304
hko,1450
ehko,894
ykõme,1832
rykõme,1742
orykõme,321
tykõ,362
etykõ,232
netykõ,10
enetykõ,10
tase,2873
otase,830
htoko,9713
ykomo,911
tykomo,21
etykomo,21
ma,583
ema,356
sema,270
saka,1429
osaka,174
õpyrykõ,1933
itu,598
jitu,125
epose,582
nepose,582
enepose,310
wõko,110
roko,2859
patoko,224
roto,1923
oroto,1915
htatose,57
wahtao,5236
mã,1051
emã,155
remã,39
eremã,22
reremã,8
ireremã,8
pĩko,153
upĩko,147
patohme,981
õse,1075
wõse,293
owõse,288
omero,69
romero,57
oromero,57
arose,2919
kyry,2169
ikyry,809
rikyry,809
nõkõ,401
enõkõ,212
oenõkõ,212
poenõkõ,212
nomo,3771
anomo,1020
nanomo,1020
õnanomo,11
keu,75
akeu,50
tãko,1253
itãko,178
hpyra,11507
ehpyra,4926
kehpyra,3996
ihse,1521
rihse,1512
orihse,1488
oorihse,1488
mia,32
emia,21
remia,21
eremia,21
hti,347
ohti,347
tohti,347
etohti,347
oetohti,347
ehme,1573
rehme,1387
orehme,1379
kuhpyry,41
au,107
rau,20
erau,6
kerau,6
emy,837
semy,726
oytory,207
mi,1128
omi,88
rea,599
irea,441
rirea,441
arirea,441
zare,96
azare,72
ene,5202
kene,3692
hkene,1169
ahkene,1169
põme,242
epõme,10
repõme,10
arepõme,10
ane,2259
kane,1357
hkane,624
ihkane,140
rihkane,140
itose,428
pitose,428
apitose,170
sao,239
ore,479
pore,451
turũko,756
sẽkõ,2655
esẽkõ,2379
uesẽkõ,2247
asaka,599
sasaka,593
hsasaka,312
eroro,4644
aeroro,4637
mary,2349
emary,429
semary,109
itoko,720
ritoko,560
yritoko,560
uhtoko,1346
puhtoko,1164
ypyrykõ,5658
potoko,464
apotoko,185
pohme,210
opohme,210
totohme,809
htaka,354
ohtaka,346
rohtaka,346
ja,260
aja,211
zaja,195
ony,154
pony,33
upony,18
eru,1687
meru,150
ameru,54
oty,256
poty,153
aru,347
waru,186
awaru,186
õto,1682
nõto,1674
onõto,1674
umo,67
hpoty,118
wa,379
awa,220
rawa,5
sẽ,1564
asẽ,118
kasẽ,75
amo,2601
eary,18
reary,18
areary,18
mareary,18
yno,3809
kyno,155
xixi,12
exixi,12
ni,42
ẽni,4
kurume,824
ukurume,40
ooehse,1939
omiry,1650
apõkõ,1544
eapõkõ,217
teapõkõ,63
atão,92
oatão,78
iõkõ,14
piõkõ,14
hpiõkõ,14
karose,2033
okarose,1784
hkõme,8611
ohkõme,8611
tohkõme,8587
ihkase,498
rihkase,362
uaka,286
xeu,784
ixeu,784
rixeu,784
arixeu,784
seu,138
useu,126
tuseu,126
atuseu,126
nõme,1551
anõme,615
nanõme,615
ananõme,385
ãkary,589
mãkary,45
emãkary,45
uhpyra,3406
puhpyra,2674
apose,2192
kapose,1470
hkapose,525
ẽpyra,1536
rẽpyra,1420
oi,84
koi,72
poto,345
ũke,117
rũke,67
urũke,67
zehno,440
exiry,1224
yryke,2786
tyryke,2370
utyryke,2361
htohme,8130
amurukõ,677
epyry,1900
kepyry,752
oryme,4267
toryme,3938
etoryme,3619
paryme,70
nanase,3276
ohpyra,1373
nohpyra,1074
ohne,1794
nohne,485
enohne,413
pu,1975
opu,444
kehko,601
õkehko,588
riry,498
yriry,192
yãme,352
tyãme,352
otyãme,33
motyãme,33
rĩko,425
yrĩko,288
ito,562
pito,534
upito,534
akety,265
takety,178
ytakety,116
hkãko,745
ahkãko,269
pemã,68
apemã,68
tapemã,68
ytapemã,40
ahtohme,246
apỹ,145
tapỹ,73
ytapỹ,36
rytapỹ,36
erytapỹ,36
kara,7275
ekara,1298
mekara,1240
umekara,1240
ỹko,6845
rỹko,6815
orỹko,6754
torỹko,6706
atorỹko,2598
kuaka,126
akuaka,126
ohtohme,554
mino,182
omino,182
komino,182
nõko,12290
hnõko,11030
ehnõko,2104
htorỹko,1687
naka,2682
unaka,1981
punaka,1981
poko,3497
ypoko,537
exi,128
rexi,81
hkety,226
ohkety,147
rohkety,132
põko,3771
ĩpo,3182
eĩpo,1732
meĩpo,1732
omeĩpo,933
romeĩpo,933
mãko,4627
ũmãko,43
pũmãko,7
rã,1490
urã,1476
katohme,1629
nãko,163
ỹnãko,13
mãkõ,3265
ymãkõ,1404
rymãkõ,1404
yrymãkõ,1404
py,385
hpy,18
ehpy,18
zehpy,18
hkary,300
ihkary,62
rihkary,62
rehxo,510
urehxo,483
ah,427
omipona,2379
ytase,102
uae,30
kuae,18
akuae,18
apu,1363
iakase,287
piakase,287
yhtose,200
uimo,227
kuimo,40
ukuimo,40
tukuimo,40
nono,104
anono,90
aino,130
myry,2100
ymyry,1447
pyno,2082
potohme,1755
oroko,1908
muru,1516
amuru,1140
hke,2388
uhke,1962
tuhpyra,256
mehse,468
õmehse,441
0me,312
ãse,1308
pãse,405
apãse,286
tapãse,286
itapãse,121
orẽ,22
ũkurume,740
riko,535
yriko,487
ypyra,957
rypyra,950
iryme,1013
miryme,940
ihnõko,692
rihnõko,682
ãpyra,1079
ỹme,1070
pỹme,1034
hpỹme,934
ihpỹme,760
rihpỹme,760
tona,436
otona,424
rotona,424
orotona,424
utoh,1178
rutoh,1166
urutoh,1166
turutoh,1090
okõ,2626
tokõ,714
etokõ,42
aetokõ,42
ãnaka,309
rãnaka,183
arãnaka,155
opõko,640
ropõko,607
aõkomo,388
uaõkomo,195
eme,3797
neme,2075
ineme,28
oineme,8
poineme,8
para,657
apara,285
tapara,285
etapara,285
ehtohme,1871
puru,535
upuru,279
pupuru,207
kuhpyra,40
mory,810
tary,1052
atary,148
patary,56
ypatary,24
onepose,272
opõkõ,1634
nopõkõ,464
onopõkõ,464
rãkomo,56
urãkomo,56
õke,7638
aõke,41
taõke,31
ytaõke,21
umuru,376
kumuru,376
ekumuru,299
ó,22
ẽpataka,83
roino,460
aroino,460
kako,327
ekako,128
mekako,101
umekako,101
mekase,890
umekase,890
ohtyã,800
yohtyã,746
nyohtyã,746
ehmase,497
rehmase,289
mapose,562
õmapose,149
isary,1200
uisary,1200
hnomo,2200
ehnomo,2152
mehnomo,2152
yhmase,788
ryhmase,476
ynã,561
kynã,561
ũ,1343
aũ,118
naũ,112
anaũ,112
panaũ,112
apanaũ,112
uhpo,245
kuhpo,240
ikoxi,248
pikoxi,248
hpikoxi,176
urõ,12
purõ,12
epurõ,12
ri,361
ari,28
tari,16
atari,16
patari,16
apatari,16
una,756
õkõme,302
iõkõme,9
piõkõme,9
poe,308
õpoe,5
tarykõ,349
atarykõ,119
õkara,2715
tõkara,1705
utõkara,1646
arykõme,446
tõko,1563
katoko,782
ekatoko,484
uroko,554
kuroko,470
ikuroko,140
ỹnanõ,21
nỹnanõ,21
koro,1969
akoro,870
sakoro,870
imão,420
turu,2816
eturu,2275
akorõ,457
tare,75
ỹnõko,105
nỹnõko,70
ãpa,108
rãpa,108
arãpa,108
aropa,208
maropa,200
hmaropa,200
yoro,508
xĩ,420
ku,850
aku,367
iaku,235
eteu,84
peteu,84
epeteu,84
enõ,349
oenõ,341
narykõ,123
ãnarykõ,40
ike,396
pike,21
hpike,21
ohpike,21
mykõ,386
umykõ,246
ohnõko,3216
rohnõko,748
mose,399
omose,272
nomose,98
ynomose,88
ytoryme,45
epase,1349
repase,1216
orepase,1216
patoh,729
epatoh,682
repatoh,682
kõkara,934
ãkõkara,881
ãkase,1606
rãkase,1446
urãkase,1446
ãtose,161
kãtose,149
okãtose,112
iapõkõ,394
riapõkõ,53
õtase,363
rõtase,363
arõtase,330
nehse,473
onehse,371
pãkõ,416
hpãkõ,389
ohpãkõ,389
kohpãkõ,77
tomo,2280
etomo,2259
ketomo,2259
aketomo,320
ytopyra,90
iketõ,3463
xiketõ,3451
õpõkomo,108
hmãkomo,803
apõkomo,1016
toro,49
etoro,14
setoro,14
oẽkomo,9
poẽkomo,9
hmãkõ,1026
ihmãkõ,1026
oihmãkõ,1017
reme,1140
oreme,817
moreme,817
amoreme,642
htoh,5009
tãkye,53
ãtãkye,7
kõke,7389
ykõke,7108
rykõke,7108
irykõke,6447
rokõ,961
arokõ,961
marokõ,961
itara,48
arory,1474
karory,1448
ekarory,867
ẽko,816
nẽko,816
enõme,795
oenõme,795
poenõme,403
irykõ,2673
xirykõ,1754
exirykõ,1682
koino,937
okoino,905
marykõ,914
omarykõ,118
matoko,1274
ematoko,218
roryme,227
aroryme,227
hmarykõ,325
tõkõ,1336
utõkõ,511
rutõkõ,511
utu,52
autu,40
õsẽ,316
popyra,2394
hpopyra,716
hsẽme,72
ahsẽme,72
pahsẽme,63
okene,2386
poryme,52
eporyme,27
opỹ,115
epatoko,127
tatohme,388
ehkane,286
rehkane,220
enẽko,206
senẽko,56
hkõ,3662
ohkõ,3655
tohkõ,3639
htohkõ,2581
ehtohkõ,1229
yhxo,40
kyhxo,40
okyhxo,40
nokyhxo,40
sana,60
asana,60
ina,181
rina,160
arina,160
parina,160
ãparina,160
purũko,44
apurũko,9
hkara,392
ehkara,101
rehkara,50
upyra,508
rupyra,460
urupyra,460
yĩ,1115
pyĩ,1115
apyĩ,1111
tapyĩ,636
ytapyĩ,378
hmãko,1919
uhmãko,193
nuhmãko,166
taõkomo,173
aaro,1284
eryme,1280
neryme,1233
eneryme,1233
uaõ,274
puaõ,270
apuaõ,270
uhnõko,4276
puhnõko,3554
hpõme,160
ahpõme,37
kahpõme,37
epary,552
repary,552
orepary,552
rohtao,2080
urohtao,2070
ekapose,30
pory,1935
apory,1011
kapory,595
ekapory,92
turuse,1622
õturuse,1272
yase,703
pyase,339
epyase,249
ãkara,1454
mãkara,164
hmãkara,32
ahpyra,394
nahpyra,236
ahtoh,168
nahtoh,14
iro,1476
oiro,1410
sã,632
aneme,1437
paneme,568
epaneme,550
ahxo,664
rahxo,498
yrahxo,469
pyrahxo,448
itorỹko,793
atõkõ,329
patõkõ,308
epatõkõ,308
õpyra,636
mõpyra,440
õnõko,363
mõnõko,309
ukomo,399
rukomo,389
urukomo,389
apase,546
tapase,546
otapase,504
otorỹko,973
katu,392
ekatu,392
rekatu,392
erekatu,392
apãko,311
tapãko,311
yny,386
pyny,386
epyny,280
mepyny,280
rykomo,736
orykomo,99
wohpe,88
owohpe,88
oimo,1322
toimo,573
otoimo,552
potoimo,552
ropyra,1688
aropyra,923
utatoko,72
noto,84
hnoto,29
ehnoto,29
zehnoto,8
rotoko,433
arotoko,370
ĩke,15
xĩke,15
hkuru,1021
ahkuru,1021
zahkuru,1021
iny,111
xiny,95
utoko,580
rutoko,538
urutoko,538
rãme,2254
arãme,2104
tarãme,2104
rehnõko,690
tatu,915
utatu,875
outatu,875
mõse,742
omõse,366
mapory,329
hmapory,233
ehmãko,861
pehmãko,312
hpory,377
ohpory,252
eropose,244
eryhtao,452
pyryme,5687
ypyryme,2827
eke,1279
seke,624
eseke,624
meseke,624
omeseke,624
uhtohkõ,1133
nurukõ,326
enurukõ,180
outoko,42
upory,36
õtohme,73
mõtohme,73
myrykõ,128
omyrykõ,119
emarykõ,184
ohtoko,401
kohtoko,27
kohse,47
hkohse,40
uhkohse,40
atokõ,235
katokõ,192
akatokõ,192
iãkõ,320
xiãkõ,320
yxiãkõ,320
pyxiãkõ,320
erotoko,18
pokoino,154
õmipona,768
iryhtao,602
ekõme,977
nekõme,927
enekõme,60
htopyra,189
hmara,1272
ohmara,99
kohmara,99
ipyra,1277
ripyra,626
yripyra,580
õmary,69
rõmary,69
orõmary,69
setykõ,222
ũsetykõ,64
tume,774
utume,251
mutume,110
imutume,110
kutume,134
ukutume,134
ahtoko,855
rohne,1166
orohne,1061
ẽkase,45
yẽkase,45
tyẽkase,45
htãko,149
yhtãko,21
ajohpe,563
oajohpe,563
ukase,391
nukase,8
onukase,8
takãme,45
etakãme,45
ery,649
ahkase,412
tahkase,18
erykõ,145
zerykõ,7
yhmara,501
ryhmara,257
ãmara,96
kãmara,88
akãmara,88
opotoko,171
atoro,35
tatoro,9
etatoro,9
ỹkõ,35
tỹkõ,35
etỹkõ,35
metỹkõ,35
oiry,386
poiry,380
mako,568
imako,26
uimako,8
puimako,8
hmako,493
ehmako,385
rehmako,351
hmatoko,793
umehxo,625
rumehxo,612
ryrykõ,329
yryrykõ,319
ĩtao,252
xĩtao,252
hpyryme,2459
kyrykõ,593
ekyrykõ,139
ykõkara,12
ime,805
xime,436
ixime,76
urãkõ,487
opo,577
nopo,228
onopo,228
hpõko,991
ehpõko,154
nehpõko,128
ehmara,468
pehmara,223
ekõ,626
pekõ,79
epekõ,67
oryhtao,1949
ãto,232
tãto,220
ou,1553
tou,1525
atou,1157
hmary,738
ehmary,420
rehmary,354
ãnao,211
anõkõ,175
nanõkõ,157
enanõkõ,30
pehmase,198
kãkara,510
okãkara,445
johpãkõ,312
rehmãko,549
esẽme,180
nesẽme,48
onesẽme,48
õtoh,230
mõtoh,230
imõtoh,56
ximõtoh,56
matohme,1425
mopyra,581
omopyra,551
etorỹko,143
ukohtao,906
ihme,1267
kihme,406
ikihme,406
wõnõko,42
õmãkõ,231
mõmãkõ,198
imõmãkõ,198
rurukõ,337
ururukõ,337
esaka,121
õtoko,34
mõtoko,21
yhtoh,52
epyra,1963
nepyra,598
enepyra,590
erykõke,71
iroro,168
oiroro,168
tomose,50
mykõme,90
opopyra,345
aono,636
uaono,556
puaono,536
apuaono,536
aõkõ,826
uaõkõ,298
puaõkõ,256
apuaõkõ,256
oae,309
roae,156
eroae,150
aroko,203
karoko,182
okapory,43
omako,49
womako,49
ihpõkõ,94
rihpõkõ,62
okara,511
rokara,176
orokara,176
tyryae,117
otyryae,117
ãtopyra,107
maketõ,264
hmaketõ,24
ikatoko,13
natoko,83
inatoko,11
neru,1521
ineru,858
nohse,1514
onohse,102
nonohse,95
xtãko,11
ixtãko,11
rixtãko,11
uko,281
yhmãko,473
ryhmãko,87
mato,222
nohnõko,2108
morykõ,417
omorykõ,387
ãkapory,342
oero,157
xtara,11
ixtara,11
rixtara,11
yaro,55
torykõ,319
ytorykõ,242
kokõ,571
okokõ,511
uokokõ,487
zurume,56
ereme,323
aereme,273
uhmara,132
nuhmara,90
ẽke,170
sẽke,170
osẽke,158
pime,248
upime,248
irõ,75
oirõ,75
ukõke,123
rukõke,123
urukõke,123
kurukõ,309
okurukõ,72
yorõ,214
tye,1351
otye,1351
ytõko,418
oytõko,418
toytõko,418
ykara,43
rykara,43
arykara,36
apyrykõ,136
ẽmara,21
nẽmara,21
ikyrykõ,406
xino,225
misa,222
amisa,222
ahpoty,112
nahpoty,112
etoko,203
netoko,161
rohpyra,162
põ,1600
upõ,207
otu,57
nỹpyry,159
onỹpyry,117
hpõ,681
ihpõ,87
ohpõko,688
nohpõko,678
nohpory,200
ahnõko,558
nahnõko,168
yahkase,24
upõkõ,420
oexiry,308
yryhtao,2587
eh,406
okuru,88
nehnõko,48
he,193
ahe,166
tỹ,11
etỹ,11
metỹ,11
kahnõko,30
ano,1284
ykyro,11
tykyro,11
ẽtykyro,11
ikaro,54
nikaro,54
enikaro,54
uhme,1813
zuhme,1808
azuhme,1808
mazuhme,1808
etatoko,241
okoro,1099
ẽkara,514
yẽkara,198
tyẽkara,198
emara,499
remara,450
eremara,450
opyry,692
nopyry,692
õnopyry,10
we,496
ewe,496
nuru,3478
okomo,584
rokomo,290
arokomo,290
enuru,61
uxi,317
hto,441
ohto,360
nohto,179
unohto,160
kunohto,160
arykõke,393
iketomo,1563
kuxi,167
ikuxi,161
aikuxi,161
yino,247
ryino,247
iryino,32
xiryino,32
õino,167
kõino,167
ykõino,167
rykõino,167
koimo,236
okoimo,230
nokoimo,230
suru,38
asuru,30
ytatose,5928
tũmãko,36
ũtũmãko,29
oĩko,453
poĩko,453
paro,493
hparo,79
uhparo,79
tuhparo,72
iparo,403
oiparo,403
tyro,495
pine,6
upine,6
one,3169
pone,297
apone,104
kapone,74
akapone,16
akãko,362
makãko,117
hmakãko,92
kamo,171
õkamo,22
nõkamo,22
enõkamo,22
nõkomo,103
enõkomo,50
mise,145
rirykõ,318
otoh,567
totoh,107
imã,163
pimã,60
upimã,60
tyry,1846
utyry,1574
putyry,1574
uputyry,1574
oketõ,305
toketõ,305
imaketõ,216
mõkara,16
umõkara,16
opyrykõ,304
tõme,889
utõme,197
rutõme,197
aneru,663
yhmary,152
omory,724
komory,600
õkomory,600
oxino,49
moxino,49
aome,7
maome,7
amaome,7
ytara,234
rytara,144
erytara,144
yka,215
ryka,203
aryka,203
taryka,203
rurume,328
arurume,8
peryme,47
operyme,24
ytãko,171
rytãko,153
erytãko,153
kohnõko,27
ytaryke,19
pahnõko,134
katoh,594
akatoh,161
iakatoh,146
muxi,120
amuxi,120
oase,1401
roase,459
aroase,278
karoase,257
poase,437
hpoase,176
ohpoase,67
waro,135
amose,95
oremã,8
poremã,8
ũporemã,8
murume,1247
amurume,1247
umase,128
kumase,40
ukumase,40
ykane,448
rykane,448
yrykane,420
mihme,742
amihme,742
kona,794
okona,794
nemara,14
porẽ,18
ũporẽ,18
tananõ,200
wã,55
awã,55
sawã,55
omase,370
kehse,1079
ukehse,211
rukehse,202
uhkase,560
ruhkase,545
pũ,99
upũ,12
otaryke,16
rãkary,544
urãkary,544
omary,238
yhse,541
tyhse,28
otyhse,21
poh,26
opoh,10
ukety,225
rukety,225
urukety,225
ota,205
pota,34
epota,34
nepota,34
enepota,27
rota,40
arota,35
karota,35
asasaka,65
ryse,198
oryse,112
poryse,112
eporyse,50
mano,421
omano,120
umã,289
tumã,258
ẽtumã,8
jẽtumã,8
ajẽtumã,8
pãme,617
hpãme,565
ohpãme,547
johpãme,547
taono,41
ĩtaono,11
yĩtaono,11
hrame,119
ohrame,119
rah,65
arah,55
karah,7
akarah,7
akẽme,10
takẽme,10
atakẽme,10
itão,14
pitão,14
apitão,14
etoke,99
oetoke,99
poetoke,99
sehko,114
ukara,120
eukara,99
teukara,99
panõ,30
kãkõ,636
hkãkõ,566
uhkãkõ,566
ohtoh,434
rohtoh,385
orohtoh,82
tuhnõko,368
oahmase,304
mao,106
umao,66
tumao,66
utumao,66
kutumao,66
õmase,246
ypõko,27
rypõko,27
arypõko,27
ui,242
orykõke,82
ẽtu,222
jẽtu,108
ajẽtu,108
ãka,97
rãka,54
urãka,54
kurãka,48
ekurãka,40
noty,40
enoty,24
renoty,24
erenoty,24
ehne,147
kehne,14
hkehne,14
ohkehne,14
õne,48
wõne,24
owõne,24
nowõne,24
ynowõne,24
hsẽ,275
ahsẽ,183
nahsẽ,168
onahsẽ,168
apyry,177
ie,180
nie,163
onie,163
konie,114
okonie,114
uro,130
kuro,118
ukuro,78
õmiry,384
hpose,1529
ohpose,873
nohpose,829
õpyryae,779
pane,579
epane,174
