jesu,ju,j,òj,jes,lab,tyb,fe,kri,m,te,kr,tyyritidỹỹdu,je,k,tyyritidỹỹduk,t,rỹsỹn
,,,,,,,,,,teòdu,,,,,,,
,,,,,,,,,,,,,,keki,,,
,,,,,,,,,meki,,,,,,,,
,,,,,,,,,,,,,,,,tỹnyre,
,,,,,,,,,,,,,,kiamy,,,
,,,,,,,,,,,,,jeremia,,,,
,,jeremia,,,,,,,,,,,,,,,
,,,,,,,,,myhỹre,,,,,,,,
,,,,,,,,,,,,,,,,ture,
,,,,,,,,,,teròwymy,,,,,,,
,,,,,,,,,,,,,,kowa,,,
,,,,,,,,,,,,,,,,,rỹsỹnaõmy
,,joaõmy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kamelo,,,
,,jordaõ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,taru,
,,,,,,,,,,,,,,kòraru,,,
,,,,,,,,,,,,,,,,tyhymy,
,,,,,,,,,moma,,,,,,,,
,,,,,,,,,,,,,,,,tòru,
,,,,,,,,,,,,,,kõkeki,,,
,,,,,,,,,,,,,,katyre,,,
,,,,,,,,,mykeki,,,,,,,,
,,,,,,,,,maixõmo,,,,,,,,
,,,,,,,,,myna,,,,,,,,
,,,,,,,,,,,,,,,,tahyna,
,,,,,,,,,,,,,,kõkõmy,,,
,,,,,,,,,,,,,,,,txi,
,,,,,,,,,,,,,,,,tukure,
,,,,,,,,,,,,,,kanasi,,,
,,,,,,,,,,,,,,,,txumy,
,,,,,,,,,,,krile,,,,,,
,,,,,,,,,,,,,,,,taile,
,,,,,,,,,,,,,,kaile,,,
,,,,,,,,,,templo,,,,,,,
,,,,,,,,,,,,,,,,templo,
,,,,,,,,,,,,,,,,tukre,
,,,,,,,,,,,,,,,,taỹju,
,,,,,,,,,,tebò,,,,,,,
,,,,,,,,,,,,,,,,tebò,
,,,,,,,,,make,,,,,,,,
,,,,,,,,,,teàlàna,,,,,,,
,,,,,,,,,,,,,,,,teàlàna,
,,,,,,,,,,,,,,,,tiile,
,,,,,,,,,,,,,,,,teòdu,
,,,,,,,,,mabeke,,,,,,,,
,,,,,,,,,,,,,,,,tawo,
,,,,,,,,,,,,,,kawo,,,
,,,,,,,,,manaõ,,,,,,,,
,,,,,,,,,,,,,,kafanaõ,,,
,,,,,,,,,,,,,,katxi,,,
,,,,,,,,,,,,,,kawe,,,
,,,,,,,,,,,,,,,,tawe,
,,,,,,,,,,,,,,kowawe,,,
,,,,,,,,,,,,,,,,tukõdu,
,,,,,,,,,,,,,,,,tasỹ,
,,,,,,,,,,,,,,kowasỹ,,,
,,,,,,,,,,,,,,,,toosòna,
,,,,,,,,,mariamy,,,,,,,,
,,,,,,,,,,,,,,,,timaõ,
,,,,,,,,,,,,,,,,timykre,
,juwesele,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tarià,
,,,,,,,,,,,,,,,,txiau,
,,,,,,,,,,,,,,,,talawo,
,,,,,,,,,,,,,,,,tybina,
,,,,,,,,,,,,,,,,tiò,
,,,,,,,,,,,,,,,,tya,
,,,,,,,,,,tetya,,,,,,,
,,,,,,,,,,teysana,,,,,,,
,,,,,,,,,,,,,,,,teysana,
,,,,,,,,,makeki,,,,,,,,
,,,,,,,,,,teysamy,,,,,,,
,,,,,,,,,,,,,,,,teysamy,
,,jona,,,,,,,,,,,,,,,
,,,,,,,,,mona,,,,,,,,
,,,,,,,,,,,,,,kanakre,,,
,,,,,,,,,manakre,,,,,,,,
,,,,,,,,,,,,,,,,tyymy,
,,,,,,,,,,,,,,,,tukeki,
,,,,,,,,,,,,,,,,tòena,
,,,,,,,,,,,,,,,,tyky,
,,,,,,,,,,,,,,,,tulesỹ,
,,,,,,,,,,teysakre,,,,,,,
,,jyyra,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tanyte,
,,,,,,,,,,,,,,kaa,,,
,,,,,,,,,maa,,,,,,,,
,,,,,,,,,,,,,,krile,,,
,juhu,,,,,,,,,,,,,,,,
,,,,,,,,,makremy,,,,,,,,
,,,,,,,,,mahãte,,,,,,,,
,,,,,,,,,,,,,,kabede,,,
,,,,,,,,,,,,,,,,tabede,
,,,,,,,,,,,,,,,,tatyy,
,,,,,,,,,moõ,,,,,,,,
,,,,,,,,,,,,,,,,toosòmy,
,,juramy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tamana,
,,,,,,,,,,,,,,,,tako,
,,,,,,,,,,,,,,,,tõhõti,
,,,,,,,,,,,,,,,,toite,
,,,,,,,,,mynamy,,,,,,,,
,,,,,,,,,,,,,,karybe,,,
,,,,,,,,,,,,,,,,tarybe,
,,,,,,,,,,teate,,,,,,,
,,,,,,,,,,,,,,,,tate,
,,,,,,,,,,,,,,,,teramy,
,,,,,,,,,,,,,,kỹny,,,
,,,,,,,,,,,,,,kõnana,,,
,,,,,,,,,mynyke,,,,,,,,
,,,,,,,,,,,,,,,,,rỹsỹnale
,,,,,,,,,mahumy,,,,,,,,
,,,,,,,,,,,,,,kòke,,,
,,,,,,,,,malòke,,,,,,,,
,,,,,,,,,,,,,,,,tyhyre,
,,,,,,,,,,,,,,kahãwyy,,,
,,,,,,,,,,,,,,,,tahãwyy,
,,,,,,,,,,,,,,,,tỹwe,
,,,,,,,,,,,,,,kaòle,,,
,,,,,,,,,,,,,,,,tiramy,
,,,,,,,,,,,,,,kakile,,,
,,,,,,,,,matxike,,,,,,,,
,,,,,,,,,,teuremy,,,,,,,
,,,,,,,,,,,,,,,,teuremy,
,,,,,,,,,,,,,,kohe,,,
,,,,,,,,,,,,,,kiale,,,
,,,,,,,,,myỹ,,,,,,,,
,,juhu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tuumy,
,,,,,,,,,,,,,,,,tukumy,
,,,,,,,,,,,,,,,,tyamy,
,jurawo,,,,,,,,,,,,,,,,
,,,,,,,,,,terawo,,,,,,,
,,jurawo,,,,,,,,,,,,,,,
,,,,,,,,,moo,,,,,,,,
,,,,,,,,,myike,,,,,,,,
,,,,,,,,,,,,,,,,tyremy,
,,,,,,tybyle,,,,,,,,,,,
,,,,,,,,,myle,,,,,,,,
,,,,,,tybyboho,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rỹsỹnareny
,,,,,,,,,manake,,,,,,,,
,,,,,,,,,,,,,,kanake,,,
,,,,,,,,,,,,,,,,txuõ,
,,,,,,,,,,,,,,,,txuu,
,,,,,,,,,,terareny,,,,,,,
,,,,,,,,,,terina,,,,,,,
,judòera,,,,,,,,,,,,,,,,
,,judòera,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tỹximy,
,,,,,,,,,,teòdumy,,,,,,,
,,,,,,,,,,,,,,,,teòdumy,
,,,,,,,,,,,,,,kiake,,,
,,,,,,,,,mariake,,,,,,,,
,,,,,,,,,,,,,,kasa,,,
,,,,,,,,,,,,,,,,tykyõ,
,,,,,,,,,,,,,,kyhyna,,,
,,,,,,,,,,,,,,,,tyhyna,
,,,,,,,,,,,,,,,,tykyõmy,
,,,,,,,,,,,,,,kiaòle,,,
,,,,,,,,,,,,,,,,tarasi,
,,,,,,,,,,,,,,,,tarasa,
,,,,,,,,,,teerymy,,,,,,,
,,,,,,,,,,,,,,,,terina,
,,,,,,,,,,,,,,,,tutyhy,
,,,,,,tybiekeki,,,,,,,,,,,
,,,,,,,,,mahake,,,,,,,,
,,,,,,,,,,,,,,kuladu,,,
,,,,,,,,,,tewinymy,,,,,,,
,,,,,,,,,,,,,,kí,,,
,,,,,,,,,moisesi,,,,,,,,
,,,,,,,,,malokre,,,,,,,,
,,,,,,tybyhykỹ,,,,,,,,,,,
,,,,,,,,,,terare,,,,,,,
,,,,,,,,,,,,,,kore,,,
,,,,,,,,,,,,,,,,tỹtỹ,
,,,,,,,,,,teeryte,,,,,,,
,,,,,,,,,,,,,,,,teeryte,
,,,,,,,,,matyty,,,,,,,,
,,,,,,,,,,,,,,,,tadeòdu,
,,,,,,,,,,,,,,,,taheto,
,,,,,,,,,mahãduy,,,,,,,,
,,,,,,,,,,,,,,kahãbu,,,
,,,,,,,,,,,,,,,,tahãbu,
,,,,,,,,,,,,,,,,tiki,
,,,,,,,,,,,,,,,,taiki,
,,,,,,,,,,,,,,,,taita,
,,,,,,,,,,,,,,kaita,,,
,,,,,,,,,,,,,,,,tahi,
,,,,,,,,,,,,,,,,timyre,
,,,,,,,,,myhe,,,,,,,,
,,,,,,,,,,,,,,kanawe,,,
,,,,,,,,,makreu,,,,,,,,
,,,,,,,,,,,,,,,,tetya,
,,,,,,,,,,,,,,,,tỹimy,
,,,,,,,,,,,,,,kadara,,,
,,,,,,,,,,,,,,,,tary,
,,,,,,,,,,,,,,kiary,,,
,jurawomy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,terawo,
,,,,,,,,,,,,,,,,tahãwã,
,,,,,,,,,,,,,,kahãwã,,,
,,,,,,,,,,,,,,,,taexi,
,,,,,,,,,mahã,,,,,,,,
,,,,,,,,,,,,,,,,tateri,
,,,,,,,,,,,,,,,,taruru,
,,,,,,tybyreki,,,,,,,,,,,
,,,,,,,,,,,,,,,,titxi,
,,,,,,,,,,,,,,,,taery,
,,,,,,,,,,,,,,kiaõ,,,
,,,,,,,,,,,,,,,,tulemy,
,,,,,,,,,,,,,,,,teti,
,,,,,,,,,,,,,,,,tatyby,
,,jikarỹ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tòòsemy,
,,,,,,,,,,,kreta,,,,,,
,,,,,,,,,,teyteta,,,,,,,
,,,,,,,,,,,,,,,,teyteta,
,,,,,,,,,,teytemy,,,,,,,
,,,,,,,,,,,,,,,,teytemy,
,,,,,,,,,mynymy,,,,,,,,
,,,,,,,,,,tesỹnymy,,,,,,,
,,,,,,,,,,,,,,,,tabita,
,,,,,,,,,,telyymy,,,,,,,
,,,,,,,,,,,,,,,,telyymy,
,,,,,,,,,,,,,,,,tawa,
,,,,,,,,,,,,,,,,tome,
,,,,,,,,,,,,,,kadeu,,,
,,,,,,,,,,,,,,,,tadeu,
,judasi,,,,,,,,,,,,,,,,
,,judasi,,,,,,,,,,,,,,,
,,,,,,,,,mahadu,,,,,,,,
,,,,,,,,,,tetate,,,,,,,
,,,,,,,,,,,,,,,,tetate,
,,,,,,,,,,,,,,kata,,,
,,,,,,,,,mata,,,,,,,,
,jurana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,taòwy,
,,,,,,,,,,,,,jeihyy,,,,
,,,,,,,,,,,,,,,,taihyy,
,,,,,,,,,malòkeu,,,,,,,,
,,,,,,,,,manamy,,,,,,,,
,,,,,,,,,,,,,,komora,,,
,,,,,,,,,,,,,,,,taòraru,
,,,,,,,,,,,,,,kanau,,,
,,,,,,,,,manale,,,,,,,,
,,,,,,,,,,,,,,,,tybyõ,
,,,,,,,,,,,,,,koludu,,,
,,,,,,,,,,,,,,konana,,,
,,,,,,,,,,,,,,,,tyytyby,
,,,,,,,,,,,,,,,,txule,
,,,,,,,,,,,,,,kiawese,,,
,,,,,,,,,,tewesebo,,,,,,,
,,,,,,,,,,,,,,,,tadi,
,,,,,,,,,,,,,,,,tahõrõ,
,,,,,,,,,mabekre,,,,,,,,
,,,,,,,,,monamy,,,,,,,,
,,,,,,,,,,,,,,,,tybyle,
,,,,,,,,,,,,,,,,tabite,
,,,,,,,,,,,,,,,,tiere,
,juhukỹ,,,,,,,,,,,,,,,,
,,juhukỹ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tarade,
,,,,,,,,,,,,,,kainymy,,,
,,,,,,,,,,,,,,kaboho,,,
,,,,,,,,,,,,,,kiaboho,,,
,,,,,,,,,,,,,,,,,rỹsỹnaluu
,,,,,,,,,,,,,,,,tabyre,
,,,,,,,,,,,,,,,,tiro,
,,,,,,,,,,,,,,,,taumy,
,,,,,,,,,,texihumy,,,,,,,
,,,,,,,,,,,,,,,,tykymy,
,,,,,,,,,,,,,,,,taijoi,
,,,,,,,,,,,,,,,,tuure,
,,,,,,,,,,teòsamy,,,,,,,
,,,,,,,,,,,,,,,,teòsamy,
,,,,,,,,,,,,,,,,tiribi,
,,,,,,,,,,,,,,,,taijoiy,
,,,,,,,,,,,,,,,,tayreny,
,,,,,,,,,,,,,,,,tibohe,
,,,,,,,,,,,,,,,,taòludu,
,,,,,,,,,,,,,,,,tiehyy,
,,,,,,,,,,,,,,,,tarayky,
,,,,,,,,,,,,,,kalemy,,,
,,jonasi,,,,,,,,,,,,,,,
,,jòò,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kỹhe,,,
,,,,,,,,,mota,,,,,,,,
,,,,,,,,,,,,,,,,tota,
,,,,,,,,,,tebòhe,,,,,,,
,,,,,,,,,,,,,,,,tebòhe,
,,,,,,,,,,,,,,kotyre,,,
,,,,,,,,,,,,,,,,tòtee,
,,,,,,,,,,teòruty,,,,,,,
,,,,,,,,,,,,,,,,tarue,
,,,,,,,,,mobo,,,,,,,,
,,,,,,,,,,,,,,kanakeu,,,
,,,,,,,,,,,,,,,,tibina,
,,,,,,,,,,,,,,kiemy,,,
,,,,,labiemy,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tiiemy,
,,,,,,,,,,,,,,,,tuhe,
,,,,,,,,,,,,,,,,tiuhe,
,,,,,,,,,,telyyté,,,,,,,
,,,,,,,,,,,,,,,,telyyté,
,,,,,,,,,,,,,,,,taju,
,,,,,,,,,,,,,,,,tadeuxu,
,,,,,,,,,,,,,,,,tauludu,
jesuisini,,,,,,,,,,,,,,,,,
,,,,jesuisini,,,,,,,,,,,,,
jesuisiko,,,,,,,,,,,,,,,,,
,,,,jesuisiko,,,,,,,,,,,,,
,,,,,,,,,,,,,,kiaule,,,
,,,,,,,,,,,,,,,,txura,
jesuisile,,,,,,,,,,,,,,,,,
,,,,jesuisile,,,,,,,,,,,,,
,,jiarỹle,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kakỹny,,,
,,,,,,,,,,teõteri,,,,,,,
,,,,,,,,,,,,,,,,tatyky,
,,,,,,,,,,tebòreny,,,,,,,
,,,,,,,,,,,,,,,,tadimy,
,,,,,,,,,,,,,,,,tanieru,
,,,,,,,,,,,,,,kanieru,,,
jesuísí,,,,,,,,,,,,,,,,,
,,,,jesuísí,,,,,,,,,,,,,
,,,,,,,,,,,,,jesuísí,,,,
,,jesuísí,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,turibi,
,,,,,,,,,,,,,,,,tytymy,
,juwyra,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,takamy,
,,,,,,,,,,,,,,kainy,,,
,,,,,,,,,,,,,,,,tíí,
,,,,,,,,,magadã,,,,,,,,
,,,,,,,,,,,,,,kurina,,,
,,,,,,,,,,,,,,,,txỹxi,
,julia,,,,,,,,,,,,,,,,
,,,,,,,,,mowexe,,,,,,,,
,,,,,,,,,,,,,jeidỹỹ,,,,
,,,,,,,,,,,,,,,,tukremy,
,,,,,,,,,matuari,,,,,,,,
,,,,,,,,,,,,,,karibi,,,
,,,,,,,,,,,,,,,,taitxeò,
,,,,,,,,,,teòsana,,,,,,,
,,,,,,,,,,,,,,kòsana,,,
,,,,,,,,,,,,,,,,tiwese,
,,,,,,,,,,,,,,,,tiòle,
jesuisiòle,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kiehe,,,
,,,,,,,,,mynydu,,,,,,,,
,,,,,,,,,mobohe,,,,,,,,
,,,,,,,,,,,,,,,,tuhyy,
,,,,,,,,,malòkre,,,,,,,,
,,,,,,,,,,,,,,,,tuuõre,
,,,,,,,,,,,,,,,,taijyy,
,,,,,,,,,,,,,,kaijyy,,,
,,,,,,,,,mahakre,,,,,,,,
,,,,,,,,,,,,,,,,tyhyle,
,,,,,,,,,,,,,,kỹnyhe,,,
,,,,,,,,,,,,,,,,txiokre,
,,,,,,,,,,,,,,,,tewe,
,,,,,,,,,,tewinyta,,,,,,,
,,jeina,,,,,,,,,,,,,,,
,,,,,,,,,,teõta,,,,,,,
,,,,,,,,,,,,,,,,tureri,
,,,,,,,,,,,,,,,,tõtxi,
,,,,,,,,,molokre,,,,,,,,
,,,,,,,,,mynodu,,,,,,,,
,,,,,,,,,,,,,,,,taoworu,
,,,,,,,,,,,,,,,,txuòwy,
,,,,,,,,,,,,,,,,txutyeu,
,,,,,,,,,,,,,,,,txutye,
,,,,,,,,,,,,,,,,txuhyy,
,,,,,,,,,,,,,,,,tuheka,
,,,,,,,,,,,,,,,,tawaò,
,,,,,,,,,,,kreku,,,,,,
,,,,,,,,,,,,,,kreku,,,
,,,,,,,,,,,,,,,,tulekre,
,,,,,,,,,,,,,,,,tarora,
,,,,,,,,,,,,,,,,txiaku,
,,,,,,,,,,,,,,,,tuukre,
jesuisihe,,,,,,,,,,,,,,,,,
,,,,jesuisihe,,,,,,,,,,,,,
,jumenta,,,,,,,,,,,,,,,,
,,jumenta,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tawedu,
,,juròna,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,txirule,
,,,,,,,,,,teòduõ,,,,,,,
,,,,,,,,,,,,,,,,teòduõ,
,,jei,,,,,,,,,,,,,,,
,,,,,,tybyrybe,,,,,,,,,,,
,,,,,,,,,,,,,,,,txuramy,
,juhuna,,,,,,,,,,,,,,,,
,,juhuna,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kòri,,,
,,,,,,,,,,tebòmy,,,,,,,
,,,,,,,,,,,,,,,,tukõmy,
,,,,,,,,,,,,,,,,taka,
,,,,,,,,,,,,,,,,tahaka,
,judea,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kedea,,,
,,,,,,,,,,,,,,kedeake,,,
,,,,,,,,,,,,,,,,taruti,
,,,,,,,,,,,,,,koa,,,
,,,,,,,,,monibo,,,,,,,,
,,,,,,,,,,teleu,,,,,,,
,,,,,,,,,,,,,,,,teleu,
,,,,,,,,,,telareny,,,,,,,
,,,,,,,,,,,,,,,,tiwexe,
,,,,,,,,,,teeryõte,,,,,,,
,,,,,,,,,,,,,,,,txiò,
,,,,,,,,,,,,,,kasu,,,
,,,,,,,,,,,,,,,,tasu,
,,,,,,,,,mahamy,,,,,,,,
,,,,,,,,,mesia,,,,,,,,
,,,,,,,,,myheka,,,,,,,,
,,,,,,,,,,,,,,,,tusỹmy,
,,juraõ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tyrare,
,,,,,,,,,,,,,,,,taruetà,
,,,,,,,,,,tetidite,,,,,,,
,juratya,,,,,,,,,,,,,,,,
,,juratya,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,tiubohe,
,,,,,,,,,,,,,,,,tiuboho,
,,,,,,,,,,,,,,katahe,,,
,,,,,,,,,matahe,,,,,,,,
,,,,,,,,,,,,,,,,tohouã,
,,,,,,,,,mynyna,,,,,,,,
,,,,,,,,,,,,,,,,txulyby,
,,,,,,,,,,,,,,,,txirubò,
,,,,,,,,,,,,,,kòhòra,,,
,,,,,,,,,,,,,,,,tiubo,
,,,,,,,,,,,,,,konany,,,
,,,,,,,,,momodu,,,,,,,,
,,,,,,,,,,,,,,kõkremy,,,
,,,,,,,,,,,,,,,,toosò,
,,,,,,,,,,,,,,kialemy,,,
,,,,,,,,,,,,,,,,tỹinamy,
,,,,,,,,,,,,,,,,tulere,
,,,,,,,,,,tewinyte,,,,,,,
,,,,,,,,,,,,,,,,tabohe,
,,,,,,,,,,,,,,,,taraò,
,,,,,,,,,,,,,,,,teate,
,,,,,,,,,,,,,,,,tarumy,
,,,,,,,,,,,,,,,,torimy,
,,,,,,,,,,,,,,,,tuhyymy,
,,,,,,,,,,,,,,kaifa,,,
,,,,,,,,,,teburemy,,,,,,,
,,,,,,,,,,,,,,,,tiikre,
,,,,,,,,,,,,,,kaityhy,,,
,,,,,,,,,,,,,,,,tukõre,
,,,,,,,,,mayrehe,,,,,,,,
,,,,,,,,,,,,,,,,tõnori,
,,,,,,,,,maydese,,,,,,,,
