nh,anh,panh,inh,n,an,pan,in,ix,a,h,pa,pah,p,mẽhp,s,wr,ixwr,awr,je,w,ixw,aw,jej,ak,k,amn,amnep,ahpa,xa,ko,nhỹ,amne,am,j
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhỹr,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỳr,
,,,,,,,,,,,,,,,,,,,,,ixwỳr,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wỳr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awỳr,,,,,,,,,,,,
,,,,,,,,ixwỳr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hwỳr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,awỳr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahwỳr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xak,,,,,
,,,,,,,,,,,,,,,,wrỳk,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ixwrỳk,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,awrỳk,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wrỳk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ixwrỳk,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awrỳk,,,,,,,,,,,,
,,,,,,,,,,,pat,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kot,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kêt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jêt
,,,,ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ki,,,,,,,,,
,,,,,,,,,,,,pahi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pamã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hamã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akamã,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jamã
,,,,,,,,,,,,,,,,,,,,,,,,,kamã,,,,,,,,,
,,,,,,,,ixkamã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akamã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pakamã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kukamã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akukamã,,,,,,,,,,
,,,,,,,,ixkukamã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akukamã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkukamã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pakukamã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkukamã,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panê,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pê,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepê,,,,,,,
,,,,nê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kê,,,,,,,,,
,,,,,,,,ixê,,,,,,,,,,,,,,,,,,,,,,,,,,
nhê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pigêtjê,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,mẽhpigêtjê,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,higêtjê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axi,,,,,,,,,,,,,,,,,,,,,,,,,
nhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhĩxi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koja,,,,
,,,,,,,,,,,paja,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaja
,,,,,,,,,,,,,paja,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,waja,,,,,,,,,,,,,,
,,,,naja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pajaja,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kajaja,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jajaja
,,,,,,,,,,,,,pajaja,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paj,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kỳj,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wỳj,,,,,,,,,,,,,,
,,,inhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,põ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hõ,,,,,,,,,,,,,,,,,,,,,,,,
nhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amõ,
,,,,,,,,,,,,,,,,,,,,we,,,,,,,,,,,,,,
,,,,,,pane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixre,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,are,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kore,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kre,,,,,,,,,
,,,,,,,,,,,pare,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pre,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kop,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kêp,,,,,,,,,
,,,,,anẽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amẽ,
,,,,,,,,,,,,,pẽ,,,,,,,,,,,,,,,,,,,,,
,,,,nẽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnẽ,,,,,,,,
,,,,,,,,,agêt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,mẽhpigêt,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,higêt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pigêt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pãw,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paraãw,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apraãw,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amra,
,,,,,,,,,,,,,,,,,,,,,,,,,kra,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kora,,,,
,,,,,,,,,,,,,,,,,,,jera,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akra,,,,,,,,,,
,,,,,ano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ho,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ko,,,,,,,,,
,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,po,,,,,,,,,,,,,,,,,,,,,
,,,,,,pano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koko,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jako
,,,,nako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkra,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akra,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkra,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkra,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ata,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixta,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hta,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pata,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuta,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juta
,,,,,,,,ixtõjaja,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atõjaja,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htõjaja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtõjaja,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pere,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jera
,,,,,,,,,,,,,pà,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixà,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akà,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kà,,,,,,,,,
,,,,,,,,,axà,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paxà,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akatorxà,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,katorxà,,,,,,,,,
,,,,,,,,,,,pama,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ama,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pama,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prõ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhỹri,,,
,,,,,,,,,ari,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixri,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sap,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amĩnatap,
,,,,nasõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amõ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,samõ,,,,,,,,,,,,,,,,,,,
,,,,,anas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kas,,,,,,,,,
,,,,,,,,,,,,,pas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,poas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhỹx,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amex,
,,,,,,,,,,,patre,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jutre
,,,,,,,,,,,,,,,,,,,jese,,,,,,,,,,,,,,,
,,,,,,,,,ase,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pese,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jese
,,,,,,,,,,,,,,,sarumãw,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kàja,,,,,,,,,
,,,,,,,,ixàja,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahti,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,asti,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kosti,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kisti,,,,,,,,,
,,,,,,,,,,,,pahprõ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixprõ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hprõ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aprõ,,,,,,,,,,,,,,,,,,,,,,,,,
nhũm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nũm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kũm,,,,,,,,,
,,,,nhũm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,py,,,,,,,,,,,,,,,,,,,,,
nhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,awry,,,,,,,,,,,,,,,,
,,,,,,,,,,hy,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amy,
,,,,,,,,,,,,pahija,,,,,,,,,,,,,,,,,,,,,,
,,,,nija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hãmri,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpê,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepê,,
,,,,,,,,,apê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpê,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parpê,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xarpê,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỳrpê,
,,,,,,,,,,,,,,,,,,,,,,,,,kraja,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akraja,,,,,,,,,,
,,,,,,,,,,hkraja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkraja,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akraja,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apiasti,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpa,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpa,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,papa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,papa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hapa,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japa
,,,,,,,,,,,,,,,,,,,,,,,,,kapa,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,josapa
,,,,,,,,,,,,,prã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awrã,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrã,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jorã
,,,,,,,,,atã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtã,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xatã,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jotã
,,,,,,,,,,,,,,,,,,,,,,,,akaj,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaj,,,,,,,,,
,,,,,,,,,,,,,paj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akaj,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,josis
,,,,,,,,,,,,,pĩr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtĩr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atĩr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htĩr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtĩr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xan,,,,,
,,,,,,,,,,,pan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nõn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,põn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akõn,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kõn,,,,,,,,,
,,,,,,,,,,,papirõn,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,papirõn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhõ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kot,,,,,,,,,
,,,,,,,,,arê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixrê,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parê,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kurê,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akurê,,,,,,,,,,
,,,,,,,,,,,,pahkurê,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkurê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkurê,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akurê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixàr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnàr,,,,,,,,
,,,,,,,,,,,,,pàr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axàr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaxàr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaxàr
,,,,,,,,,,haxàr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaxyw,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akaxyw,,,,,,,,,,
,,,inhõt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhõt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,põt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kõt,,,,,,,,,
,,,,,,,,,,,,,prõt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixprõt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hprõt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aprõt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhnê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,panê,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,piitã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahpanh,,,,,,
,,,,,,,,,,,,,pênh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jênh
,,,,,,,,,,,,,,,,,,,,,,,,akupỹm,,,,,,,,,,
,,,,,,,,,akupỹm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pyka,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixêx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hêx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japêx
,,,,,,,,,,hapêx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pãnhã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpãnhã,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apãnhã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpãnhã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpãnhã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pakamã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jakamã
,,,,,,,,,,,,,,,,,,,jekonĩs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jekonĩs
,,,,,,,,,,hipêêxà,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrà,,,,,,,,,,
,,,,,,,,,,,,,pyrà,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,saraxi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kape,,,,,,,,,
,,,,,,,,,apiux,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pĩ,,,,,,,,,,,,,,,,,,,,,
,,,inhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akĩ,,,,,,,,,,
,,panhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amĩ,
,anhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kĩ,,,,,,,,,
,,,,,,,,,akĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkĩ,,,,,,,,,,,,,,,,,,,,,,,,
