ré,coro,da,d,wa,robzépa,ra,be,w,robzép,r,rataz,rata,cri,ucri,rat,cr,ucr
,,,,wawãi,,,,,,,,,,,,,
,,,,,,,,wawãi,,,,,,,,,
,,,,waibui,,,,,,,,,,,,,
,,,,,,,,waibui,,,,,,,,,
,,dawaibui,,,,,,,,,,,,,,,
,,,,wawaibui,,,,,,,,,,,,,
,,,,,,,,,,ry,,,,,,,
,,,,wanari,,,,,,,,,,,,,
,,,,,,,,,,rutuzé,,,,,,,
,,,dahâzé,,,,,,,,,,,,,,
,,,,,,,,wahâzé,,,,,,,,,
,,dapese,,,,,,,,,,,,,,,
,,,,wapese,,,,,,,,,,,,,
,,,,,,,,,,rezém,,,,,,,
,,,,,,,,,,ropé,,,,,,,
,,,,wasari,,,,,,,,,,,,,
,,,,,,,,wasari,,,,,,,,,
,,,,wamnari,,,,,,,,,,,,,
,,,,,,,,wamnari,,,,,,,,,
,,,dahâiba,,,,,,,,,,,,,,
,,,,,,,,wahâiba,,,,,,,,,
,,,,,,,,wam,,,,,,,,,
,,,,wapto,,,,,,,,,,,,,
,,,,,,,,wapto,,,,,,,,,
,,,danomro,,,,,,,,,,,,,,
,,,,,,,,wanomro,,,,,,,,,
,,datõmo,,,,,,,,,,,,,,,
,,,,watõmo,,,,,,,,,,,,,
,,,,watoi,,,,,,,,,,,,,
,,datoi,,,,,,,,,,,,,,,
,,dasai,,,,,,,,,,,,,,,
,,,,wasai,,,,,,,,,,,,,
,,,dasai,,,,,,,,,,,,,,
,,,,,,,,wasai,,,,,,,,,
,,,dapara,,,,,,,,,,,,,,
,,,,,,,,wapara,,,,,,,,,
,,,,,,,,,,rahâri,,,,,,,
,,dasimani,,,,,,,,,,,,,,,
,,,,,,,,,,rinho,,,,,,,
,,,,,,,,warazém,,,,,,,,,
,,,,,,,,,,rési,,,,,,,
,,dazazé,,,,,,,,,,,,,,,
,,,dazazé,,,,,,,,,,,,,,
,,,,wapte,,,,,,,,,,,,,
,,,,,,,,wapte,,,,,,,,,
,,,,,,,,wamama,,,,,,,,,
,,,damama,,,,,,,,,,,,,,
,,,,,,,besada,,,,,,,,,,
,,dasisada,,,,,,,,,,,,,,,
,,,,wasisada,,,,,,,,,,,,,
,,,,wanhiti,,,,,,,,,,,,,
,,danhiti,,,,,,,,,,,,,,,
,,,,,,,,wanhiti,,,,,,,,,
,,,danhiti,,,,,,,,,,,,,,
,,,,wairébé,,,,,,,,,,,,,
,,,,,,,,wairébé,,,,,,,,,
,,,,,,,,,,rizé,,,,,,,
,,,,,,,,,,rotizé,,,,,,,
,,,dawaihu,,,,,,,,,,,,,,
,,,,,,,,wawaihu,,,,,,,,,
,,dapipa,,,,,,,,,,,,,,,
,,,,,,,,,,ropipa,,,,,,,
,,,,,,,,wedeza,,,,,,,,,
,,,,warizé,,,,,,,,,,,,,
,,,,wamrizé,,,,,,,,,,,,,
,,dasisô,,,,,,,,,,,,,,,
,,dasiwasu,,,,,,,,,,,,,,,
,,,,wasiwasu,,,,,,,,,,,,,
,,,,wasiwadi,,,,,,,,,,,,,
,,dasiwadi,,,,,,,,,,,,,,,
,,,,wazazei,,,,,,,,,,,,,
,,dazazei,,,,,,,,,,,,,,,
,,,dazazei,,,,,,,,,,,,,,
,,,,,,,,wazazei,,,,,,,,,
,,,damrami,,,,,,,,,,,,,,
,,,,,,,,wamrami,,,,,,,,,
,,,,,,,,,,razéb,,,,,,,
,,,,,,,,,,,,,,,ratazéb,,
,,,,,,,,wazéb,,,,,,,,,
,,dazazéb,,,,,,,,,,,,,,,
,,,dazazéb,,,,,,,,,,,,,,
,,danhere,,,,,,,,,,,,,,,
,,,danhere,,,,,,,,,,,,,,
,,,,,,,,,,rãmi,,,,,,,
,,,,,,,,,,rãsutu,,,,,,,
,,,,,,,,wamro,,,,,,,,,
,,,damro,,,,,,,,,,,,,,
,,,,,,,,,,rotizém,,,,,,,
,,dasisiti,,,,,,,,,,,,,,,
,,dawada,,,,,,,,,,,,,,,
,,,,wawada,,,,,,,,,,,,,
,,,,,,,,watõmo,,,,,,,,,
,,,datõmo,,,,,,,,,,,,,,
,,,,wawab,,,,,,,,,,,,,
,,,,,,,,waprub,,,,,,,,,
,,,daprub,,,,,,,,,,,,,,
,,,,,,,,,,rãmimhã,,,,,,,
,,dawapte,,,,,,,,,,,,,,,
,,,,,,,,,,ruzém,,,,,,,
,,,,wamari,,,,,,,,,,,,,
,,,,wawapari,,,,,,,,,,,,,
,,dawapari,,,,,,,,,,,,,,,
,,,,wamreme,,,,,,,,,,,,,
,,damreme,,,,,,,,,,,,,,,
,,,,wazawi,,,,,,,,,,,,,
,,dazawi,,,,,,,,,,,,,,,
,,,,warazé,,,,,,,,,,,,,
,,,dazawi,,,,,,,,,,,,,,
,,,,,,,,wazawi,,,,,,,,,
,,,,,,,,wasisõ,,,,,,,,,
,,,dasisõ,,,,,,,,,,,,,,
,,,,waptâ,,,,,,,,,,,,,
,,,,,,,,waptâ,,,,,,,,,
,,,,,,,,,,rowaptâ,,,,,,,
,,dawasi,,,,,,,,,,,,,,,
,,,,,,,,,,rowapte,,,,,,,
,,dawari,,,,,,,,,,,,,,,
,,,,,,,,wahâi,,,,,,,,,
,,,,,,,,,,remhã,,,,,,,
,,,,,,,,wato,,,,,,,,,
,,,dato,,,,,,,,,,,,,,
,,,datob,,,,,,,,,,,,,,
,,,,,,,,watob,,,,,,,,,
,,,,,,,,,,robra,,,,,,,
,,,dahâtâ,,,,,,,,,,,,,,
,,,,,,,,wahâtâ,,,,,,,,,
,,,,wasazé,,,,,,,,,,,,,
,,dasazé,,,,,,,,,,,,,,,
,,dazazém,,,,,,,,,,,,,,,
,,,,,,,,wasazé,,,,,,,,,
,,,dasazé,,,,,,,,,,,,,,
,,,,,,,,,,robzuri,,,,,,,
,,,,,,,,,,rãihâri,,,,,,,
,,,,,,,,,,robza,,,,,,,
,,,,wazâri,,,,,,,,,,,,,
,,,,,,razâri,,,,,,,,,,,
,,,,,,,,wazâri,,,,,,,,,
,,,,,,,,,,razâri,,,,,,,
,,,,wabre,,,,,,,,,,,,,
,,,,wazere,,,,,,,,,,,,,
,,,,,,,,wazere,,,,,,,,,
,,,,wapru,,,,,,,,,,,,,
,,,,,,,,,,ropru,,,,,,,
,,,,wapsã,,,,,,,,,,,,,
,,,,,,,,wapsã,,,,,,,,,
,,dazô,,,,,,,,,,,,,,,
,,,,wazô,,,,,,,,,,,,,
,,,dazô,,,,,,,,,,,,,,
,,,,,,,,wazô,,,,,,,,,
,,dahâzu,,,,,,,,,,,,,,,
,,,dahâzu,,,,,,,,,,,,,,
,,,,wabzéré,,,,,,,,,,,,,
,,,,,,,,wabzéré,,,,,,,,,
,,,,wawede,,,,,,,,,,,,,
,,dawede,,,,,,,,,,,,,,,
,,,,,,,,,,rowede,,,,,,,
,,,,,,,,,,ropsi,,,,,,,
,,,,wawip,,,,,,,,,,,,,
,,,,,,,,,,romanu,,,,,,,
,,,,wapéi,,,,,,,,,,,,,
,,,,,,,,wapéi,,,,,,,,,
,,darési,,,,,,,,,,,,,,,
,,,,wazatõri,,,,,,,,,,,,,
,,dazatõri,,,,,,,,,,,,,,,
,,,,wabzu,,,,,,,,,,,,,
,,,,,,,,wabzu,,,,,,,,,
,,,,wasihutu,,,,,,,,,,,,,
,,dasihutu,,,,,,,,,,,,,,,
,,,,wasitete,,,,,,,,,,,,,
,,,,,,,,wahudu,,,,,,,,,
,,,,,,,,waibu,,,,,,,,,
,,,,,,,,wate,,,,,,,,,
,,,date,,,,,,,,,,,,,,
,,,,,,,,,,roptob,,,,,,,
,,dapahi,,,,,,,,,,,,,,,
,,,,wapahi,,,,,,,,,,,,,
,,dadara,,,,,,,,,,,,,,,
,,,dadara,,,,,,,,,,,,,,
,,dapãri,,,,,,,,,,,,,,,
,,,,wapãri,,,,,,,,,,,,,
,,dapra,,,,,,,,,,,,,,,
,,,,,,,,,,rãsipra,,,,,,,
,,darom,,,,,,,,,,,,,,,
,,,,warom,,,,,,,,,,,,,
,,,darom,,,,,,,,,,,,,,
,,,,,,,,warom,,,,,,,,,
,,,,,,,,,,robzei,,,,,,,
,,,,,,,,warizé,,,,,,,,,
,,,,,,,,wape,,,,,,,,,
,,,dape,,,,,,,,,,,,,,
,,,,wahawi,,,,,,,,,,,,,
,,dahawi,,,,,,,,,,,,,,,
,,,,,,,,wahawi,,,,,,,,,
,,,dahawi,,,,,,,,,,,,,,
,,,dawede,,,,,,,,,,,,,,
,,,,,,,,wawede,,,,,,,,,
,,,,,,,,wasutu,,,,,,,,,
,,,,wawasutu,,,,,,,,,,,,,
,,,,,,,,wamri,,,,,,,,,
,,,,,,,,wamreme,,,,,,,,,
,,,damreme,,,,,,,,,,,,,,
,,,,,,ratare,,,,,,,,,,,
,,,,,,,,,,ratare,,,,,,,
,,dazahutu,,,,,,,,,,,,,,,
,,,,wawib,,,,,,,,,,,,,
,,dahãsi,,,,,,,,,,,,,,,
,,danhope,,,,,,,,,,,,,,,
,,damrozéb,,,,,,,,,,,,,,,
,,,,,,,,,,ropâ,,,,,,,
,,,,,,,,wamrizé,,,,,,,,,
,,,,,,,,,,rebâ,,,,,,,
,,,dapese,,,,,,,,,,,,,,
,,,,,,,,wapese,,,,,,,,,
,,,,wanhisi,,,,,,,,,,,,,
,,danhisi,,,,,,,,,,,,,,,
,,,,,,,,wanhisi,,,,,,,,,
,,,danhisi,,,,,,,,,,,,,,
,,,,wahâiwa,,,,,,,,,,,,,
