ab,abr,bal,a,w,my,m,kyd,wa,ma,mya,kyda,da,le,d
,,,,,,mârâ,,,,,,,,
,,,,,,,,,magulymo,,,,,
,,,agâmo,,,,,,,,,,,
,,,,,,,,,matobyry,,,,,
,,,,,,,,,,,kydatobyry,,,
,,,atobyry,,,,,,,,,,,
,,,,,,,,watobyry,,,,,,
,,,,,mydâdyse,,,,,,,,,
,,,,,,myarâ,,,,,,,,
,,,,,,,,,,,,,,donroem
,,,,,mydâly,,,,,,,,,
,,,,,,,,,,,kydatâ,,,
,,,atâ,,,,,,,,,,,
,,,,,,,,,,,,,,duay
,,,,,,mawyly,,,,,,,,
,,,,,,,kydawyly,,,,,,,
,,,,wawyly,,,,,,,,,,
,,,,,,,,warâem,,,,,,
,,,,,,mirra,,,,,,,,
,,,ainkâ,,,,,,,,,,,
,,,arâpa,,,,,,,,,,,
,,,,,,,,warâpa,,,,,,
,,,,warâpa,,,,,,,,,,
,,,,,,mâen,,,,,,,,
,,,,,,,kydyâen,,,,,,,
,,,arâlâ,,,,,,,,,,,
,,,,,,,,warâlâ,,,,,,
,,,,,,,,,,myarâlâ,,,,
,,,,,,mârâlâ,,,,,,,,
,,,,wao,,,,,,,,,,
,,,atodâba,,,,,,,,,,,
,,,,,,medâ,,,,,,,,
,,,,,,mydy,,,,,,,,
,,,,,myguemo,,,,,,,,,
,,,anu,,,,,,,,,,,
,,,,,myan,,,,,,,,,
,,,,,,,kydani,,,,,,,
,,,,,myani,,,,,,,,,
,,,,,,myani,,,,,,,,
,,,atodâ,,,,,,,,,,,
,,,,,,,,watodâ,,,,,,
,,,,,,,,,matodâ,,,,,
,,,,winane,,,,,,,,,,
,,,anri,,,,,,,,,,,
,,,aiedyly,,,,,,,,,,,
,,,agueim,,,,,,,,,,,
,,,adâkely,,,,,,,,,,,
,,,aindyly,,,,,,,,,,,
,,,atomoem,,,,,,,,,,,
,,,,,,myara,,,,,,,,
,,,,wogonro,,,,,,,,,,
,,,adão,,,,,,,,,,,
,,,aieni,,,,,,,,,,,
,,,agui,,,,,,,,,,,
,,,,,,,,wauguely,,,,,,
,,,auguely,,,,,,,,,,,
,,,,,,mâkeba,,,,,,,,
,,,awârâ,,,,,,,,,,,
,,,anji,,,,,,,,,,,
,,,alelâ,,,,,,,,,,,
,,,aieholy,,,,,,,,,,,
,,,,,,,,watay,,,,,,
,,,atay,,,,,,,,,,,
,,,,,,,,,,,kydatay,,,
,,,,,,,,,matay,,,,,
,,,,,,,kydatay,,,,,,,
,,,,,,matay,,,,,,,,
,,,,watay,,,,,,,,,,
,,,aguenri,,,,,,,,,,,
,,,akadâ,,,,,,,,,,,
,,,aitoem,,,,,,,,,,,
,,,,,,mitoem,,,,,,,,
,,,,witoem,,,,,,,,,,
,,,,wâgâlâ,,,,,,,,,,
,,,,wakeze,,,,,,,,,,
,,,,wâneam,,,,,,,,,,
,,,,,,,,,,,kydatânry,,,
,,,,,,mâewyly,,,,,,,,
,,,,,,mato,,,,,,,,
,,,,wato,,,,,,,,,,
,,,,,,,kydato,,,,,,,
,,,,widâ,,,,,,,,,,
,,,,wonwa,,,,,,,,,,
,,,anás,,,,,,,,,,,
,,,aiese,,,,,,,,,,,
,,,,,,,kydapyra,,,,,,,
,,,,,,myguely,,,,,,,,
,,,,,myguepa,,,,,,,,,
,,,aguepa,,,,,,,,,,,
,,,,wânrâ,,,,,,,,,,
,,,,,,,,,mawânrâ,,,,,
,,,,,,mawânrâ,,,,,,,,
,,,awo,,,,,,,,,,,
,,,awâniem,,,,,,,,,,,
,,,awâse,,,,,,,,,,,
,,,,,,mipyra,,,,,,,,
,,,,wipyra,,,,,,,,,,
,,,,,,,,wakelymo,,,,,,
,,,,,,mâmpyra,,,,,,,,
,,,anano,,,,,,,,,,,
,,,,,,,,,makuru,,,,,
,,,,,,meia,,,,,,,,
,,,,wondyly,,,,,,,,,,
,,,anaym,,,,,,,,,,,
,,,,,,,,,,myaramo,,,,
,,,aramo,,,,,,,,,,,
,,,,,,,,,,,kydamu,,,
,,,,,,,kydamu,,,,,,,
,,,,,,myan,,,,,,,,
,,,adaguly,,,,,,,,,,,
,,,,,,,,,mazagâ,,,,,
,,,azagâ,,,,,,,,,,,
,,,andré,,,,,,,,,,,
,,,,,,,,,,,,,lelâram,
,,,,,,,,,mawelymo,,,,,
,,,ago,,,,,,,,,,,
,,,anakâ,,,,,,,,,,,
,,,,,,,,,,,,,lelâba,
,,,,,,,,,,,,,,dez
,,,,wopaji,,,,,,,,,,
,,,,,,,,,,,,,,deuslâ
,,,,wâgâmo,,,,,,,,,,
,,,,,,matodâ,,,,,,,,
,,,,watodâ,,,,,,,,,,
,,,angatay,,,,,,,,,,,
,,,,,,,,,manâtyby,,,,,
,,,,,,,,warâam,,,,,,
,,,,,,,,,,,,,letralâ,
,,,arâma,,,,,,,,,,,
,,,,,,,,warâma,,,,,,
,,,,warâma,,,,,,,,,,
,,,,,,,,,,,,,,deusgue
,,,,,,,,,magumo,,,,,
,,,,,,,,,mataymo,,,,,
,,,ataymo,,,,,,,,,,,
,,,,,,mataymo,,,,,,,,
,,,,,,,kydaze,,,,,,,
,,,,,myaze,,,,,,,,,
,,,,,,maze,,,,,,,,
,,,,,,,,,,,,,,deusram
,,,,,,,,waunroem,,,,,,
,,,,,,,,watayma,,,,,,
,,,atayma,,,,,,,,,,,
,,,,watayma,,,,,,,,,,
,,,adysemo,,,,,,,,,,,
,,,amipyra,,,,,,,,,,,
,,,,,,,,,,,,,,dinheru
,,,,,,,,,matomobe,,,,,
,,,angahu,,,,,,,,,,,
,,,aise,,,,,,,,,,,
,,,,,,,,,maise,,,,,
,,,azakâlâ,,,,,,,,,,,
,,,,,,,,,,,,,lelâma,
,,,anaynlâ,,,,,,,,,,,
,,,,,,,,,,,,dadu,,
,,,,,,mudu,,,,,,,,
,,,,,,,,,,,,,,diabulâ
,,,,,myk,,,,,,,,,
,,,,,,myk,,,,,,,,
,,,,,myryk,,,,,,,,,
,,,,,,myryk,,,,,,,,
,,,adahoze,,,,,,,,,,,
,,,,,,,,,,,,,,dadu
,,,ataen,,,,,,,,,,,
,,,,,,,,,matomo,,,,,
,,,atomo,,,,,,,,,,,
,,,,,,matomo,,,,,,,,
,,,,,,modoem,,,,,,,,
,,,asaemo,,,,,,,,,,,
,,,,,,,,wakewâni,,,,,,
,,,,,,,,,,,,,lelâmo,
,,,agueho,,,,,,,,,,,
,,,,,mygueho,,,,,,,,,
,,,augueho,,,,,,,,,,,
,,,,,,myguepa,,,,,,,,
,,,aikâ,,,,,,,,,,,
,,,aito,,,,,,,,,,,
,,,,wito,,,,,,,,,,
,,,araba,,,,,,,,,,,
,,,arua,,,,,,,,,,,
,,,anarydâ,,,,,,,,,,,
,,,atârâlâ,,,,,,,,,,,
,,,agâmolâ,,,,,,,,,,,
,,,,,,mituomo,,,,,,,,
,,,aituomo,,,,,,,,,,,
,,,aiedyse,,,,,,,,,,,
,,,,,,mâkâlâ,,,,,,,,
,,,,,,,,,,,,,,donromo
,,,atâingâ,,,,,,,,,,,
,,,,,,mure,,,,,,,,
,,,,,,maise,,,,,,,,
,,,ainigue,,,,,,,,,,,
,,,anipyra,,,,,,,,,,,
,,,,,,,,wataylâ,,,,,,
,,,ataylâ,,,,,,,,,,,
,,,,,,,,,mawyse,,,,,
,,,awyse,,,,,,,,,,,
,,,,,,,,wawyse,,,,,,
,,,,widyse,,,,,,,,,,
,,,aidyse,,,,,,,,,,,
,,,,,,midyse,,,,,,,,
,,,aguipa,,,,,,,,,,,
,,,aiemâ,,,,,,,,,,,
,,,,,,,,wakeho,,,,,,
,,,adâkeho,,,,,,,,,,,
,,,auguelâ,,,,,,,,,,,
,,,agâpa,,,,,,,,,,,
,,,,wâgâpa,,,,,,,,,,
,,,,,myanze,,,,,,,,,
,,,,,,mâʼ,,,,,,,,
,,,,,,metai,,,,,,,,
,,,,,,mynra,,,,,,,,
,,,,,,modogue,,,,,,,,
,,,aiekâ,,,,,,,,,,,
,,,adyese,,,,,,,,,,,
,,,,,,,,waypa,,,,,,
,,,aypa,,,,,,,,,,,
,,,,waypa,,,,,,,,,,
,,,agueypy,,,,,,,,,,,
,,,,,,mântuo,,,,,,,,
,,,,,,,,wakezemo,,,,,,
,,,,,,,,,manâdâ,,,,,
,,,,,,manâdâ,,,,,,,,
,,,,,,,,,,,,,lelâka,
,,,aralâka,,,,,,,,,,,
,,,anaymba,,,,,,,,,,,
,,,,,,,,,mateus,,,,,
,,,,,,mateus,,,,,,,,
,,,aitânry,,,,,,,,,,,
,,,agâmopa,,,,,,,,,,,
,,,,,,,,,,,,,,duaypa
,,,atuby,,,,,,,,,,,
,,,apâdyly,,,,,,,,,,,
,,,,,mygueaki,,,,,,,,,
,,,anupe,,,,,,,,,,,
,,,anhetuo,,,,,,,,,,,
,,,anary,,,,,,,,,,,
,,,,,,,,,,,,,lelâlâka,
,,,,,,mâkânra,,,,,,,,
,,,,,,mazagâ,,,,,,,,
,,,anheto,,,,,,,,,,,
,,,,,,,,,,,,davigue,,
,,,,,,,,,,,,,levigue,
,,,alfeu,,,,,,,,,,,
,,,,,,modoran,,,,,,,,
,,,,,,,,warâwarâ,,,,,,
,,,anaxi,,,,,,,,,,,
,,,anaryam,,,,,,,,,,,
,,,aunlolâ,,,,,,,,,,,
,,,,,,modoma,,,,,,,,
,,,adain,,,,,,,,,,,
,,,,,,,,,,,,,,duaxi
,,,auwa,,,,,,,,,,,
,,,awâsemo,,,,,,,,,,,
,,,anrimo,,,,,,,,,,,
,,,,warâlâ,,,,,,,,,,
,,,,,myarâlâ,,,,,,,,,
,,,,,,,,,matomodâ,,,,,
,,,ayetomo,,,,,,,,,,,
,,,,,,mân,,,,,,,,
,,,,,,matoram,,,,,,,,
,,,,watoram,,,,,,,,,,
,,,,,,,kydatoram,,,,,,,
,,,,,,moeda,,,,,,,,
,,,,,,,,,,,,,,donroam
,,,,,,mâetuo,,,,,,,,
,,,adainly,,,,,,,,,,,
,,,amaym,,,,,,,,,,,
,,,,,,mydâpa,,,,,,,,
,,,,,,,kydâdyoly,,,,,,,
,,,,wayam,,,,,,,,,,
,,,ainkâba,,,,,,,,,,,
,,,,,,,,,,,,,lelâmy,
,,,aunloem,,,,,,,,,,,
,,,,,,miedâ,,,,,,,,
,,,ajiedâ,,,,,,,,,,,
,,,,,,mutuen,,,,,,,,
,,,,,,,,,,,,,,duaymo
,,,,,,,,,,,kydatolâ,,,
,,,atolâ,,,,,,,,,,,
,,,,,,,,,,,,,,duano
,,,adainze,,,,,,,,,,,
,,,,,,makuru,,,,,,,,
,,,,,,myaze,,,,,,,,
,,,,,,,,,,,,,,domingo
,,,,,,,,,,,,,,duas
,,,,,,,,,makynre,,,,,
,,,,,,,,wakynre,,,,,,
,,,,,,makynre,,,,,,,,
,,,,wakynre,,,,,,,,,,
,,,,woday,,,,,,,,,,
,,,alâpylâ,,,,,,,,,,,
,,,adyry,,,,,,,,,,,
,,,,,,medâmo,,,,,,,,
,,,akuiba,,,,,,,,,,,
,,,,,,,,,makuiba,,,,,
,,,auguepa,,,,,,,,,,,
,,,asafe,,,,,,,,,,,
,,,agueday,,,,,,,,,,,
,,,aityby,,,,,,,,,,,
,,,,,,,,,,,,,,duaylâ
,,,,,,mâyâen,,,,,,,,
,,,,,,,,,,,,,,donrodâ
,,,,,,mil,,,,,,,,
,,,aukuma,,,,,,,,,,,
,,,,,mydâhoem,,,,,,,,,
,,,aguekâ,,,,,,,,,,,
,,,,,,myanze,,,,,,,,
,,,,,,mitai,,,,,,,,
,,,,witai,,,,,,,,,,
,,,,,,,,wakepa,,,,,,
,,,,wakepa,,,,,,,,,,
,,,,,,modoam,,,,,,,,
,,,ahogue,,,,,,,,,,,
,,,,,,mesa,,,,,,,,
,,,,,,,kydeusry,,,,,,,
,,,,,,,,,magadã,,,,,
,,,,,,magadã,,,,,,,,
,,,adâise,,,,,,,,,,,
,,,,,,,,,,,,,lelâne,
,,,,,,,,,matobe,,,,,
,,,,,,,,watobe,,,,,,
,,,,,,matobe,,,,,,,,
,,,,watobe,,,,,,,,,,
,,,ayedyly,,,,,,,,,,,
,,,amaxi,,,,,,,,,,,
,,,,warâam,,,,,,,,,,
,,,,,,,,waone,,,,,,
,,,adâkeze,,,,,,,,,,,
,,,,womaze,,,,,,,,,,
,,,,wakeim,,,,,,,,,,
,,,atâry,,,,,,,,,,,
,,,,,,,,,maweypy,,,,,
,,,,,,maweypy,,,,,,,,
,,,,,,moedape,,,,,,,,
,,,,,,mâwinly,,,,,,,,
,,,,,,,,,matodâlâ,,,,,
,,,,,,,,watodâlâ,,,,,,
,,,atodâlâ,,,,,,,,,,,
,,,,womaru,,,,,,,,,,
,,,,,,milhão,,,,,,,,
,,,ayedâ,,,,,,,,,,,
,,,azagâpa,,,,,,,,,,,
,,,aekuru,,,,,,,,,,,
,,,,,,mâetoem,,,,,,,,
,,,,wondâ,,,,,,,,,,
,,,,,,,kydâzeto,,,,,,,
,,,,,,mâzeto,,,,,,,,
,,,amidyse,,,,,,,,,,,
,,,agüie,,,,,,,,,,,
,,,,,,,,,,,kydatogue,,,
,,,atogue,,,,,,,,,,,
,,,,,,mygueho,,,,,,,,
,,,,,,mârâem,,,,,,,,
,,,awârâem,,,,,,,,,,,
,,,aguiom,,,,,,,,,,,
,,,apay,,,,,,,,,,,
,,,ahoru,,,,,,,,,,,
,,,,,,mâdyren,,,,,,,,
,,,,,,,,wakuri,,,,,,
,,,,wakuri,,,,,,,,,,
,,,aitomo,,,,,,,,,,,
,,,,,,,,,,,kydaseraji,,,
,,,,,,midatai,,,,,,,,
,,,,,,midâmo,,,,,,,,
,,,adamegâ,,,,,,,,,,,
,,,amitoem,,,,,,,,,,,
,,,,,,mydâly,,,,,,,,
,,,,,,mâkâma,,,,,,,,
,,,,,,modope,,,,,,,,
,,,,,,,,warâgue,,,,,,
,,,,,,mârâgue,,,,,,,,
,,,,,,,,,,,kydamudoem,,,
,,,aguewâm,,,,,,,,,,,
,,,,wompyra,,,,,,,,,,
,,,,,,,,,,,,davilâ,,
,,,,,,,,,,,,,,davilâ
,,,awârâlâ,,,,,,,,,,,
,,,,,myaramo,,,,,,,,,
,,,,,,,,,makâjien,,,,,
,,,,,,mododâ,,,,,,,,
,,,awyseba,,,,,,,,,,,
,,,altar,,,,,,,,,,,
,,,atârâ,,,,,,,,,,,
,,,awâtârâ,,,,,,,,,,,
,,,,,,,,,,,,,,doce
,,,,,,mawyse,,,,,,,,
,,,,wawyse,,,,,,,,,,
,,,aguze,,,,,,,,,,,
,,,arapa,,,,,,,,,,,
,,,,,,,,,,myarapa,,,,
,,,,,myarapa,,,,,,,,,
,,,,,,myarapa,,,,,,,,
,,,angato,,,,,,,,,,,
,,,aiesemo,,,,,,,,,,,
,,,,,,,,,,,kydadaimpa,,,
,,,aguein,,,,,,,,,,,
,,,atoam,,,,,,,,,,,
,,,,,,,,watoam,,,,,,
,,,,,,,,,matoam,,,,,
,,,atâlâ,,,,,,,,,,,
,,,,,,,,watâkeze,,,,,,
,,,aramolâ,,,,,,,,,,,
,,,,,,moedas,,,,,,,,
,,,anos,,,,,,,,,,,
,,,,,,,,waunro,,,,,,
,,,,waunro,,,,,,,,,,
,,,amidâ,,,,,,,,,,,
,,,amiendâ,,,,,,,,,,,
,,,,,,mewani,,,,,,,,
,,,amaymba,,,,,,,,,,,
,,,,wonmâmo,,,,,,,,,,
,,,,,,memâmo,,,,,,,,
,,,,,,,,,,,,,,diabu
,,,,,,makuiba,,,,,,,,
,,,,,,,kydoxioda,,,,,,,
,,,awâkâlâ,,,,,,,,,,,
,,,adâito,,,,,,,,,,,
,,,arâlâma,,,,,,,,,,,
,,,,,,,,warâmo,,,,,,
,,,,warâmo,,,,,,,,,,
,,,,,,,,wawylylâ,,,,,,
,,,,,,,,,,,kydawylylâ,,,
,,,awylylâ,,,,,,,,,,,
,,,awidâ,,,,,,,,,,,
,,,,,,,,warâdâ,,,,,,
,,,,warâdâ,,,,,,,,,,
,,,,,,mâin,,,,,,,,
,,,akâiedâ,,,,,,,,,,,
,,,,,,,,,mah,,,,,
,,,ah,,,,,,,,,,,
,,,,,,moh,,,,,,,,
,,,,,myguema,,,,,,,,,
,,,,,,myguema,,,,,,,,
,,,,,,,,,magdala,,,,,
,,,,,,magdala,,,,,,,,
,,,anygue,,,,,,,,,,,
abiatar,,,,,,,,,,,,,,
,,,abiatar,,,,,,,,,,,
,,,,wopay,,,,,,,,,,
,,,aiseze,,,,,,,,,,,
,,,anhetay,,,,,,,,,,,
,,,awyara,,,,,,,,,,,
,,,aitay,,,,,,,,,,,
,,,,,,,,,,,,,,duakâlâ
,,,amitomo,,,,,,,,,,,
,,,azeiti,,,,,,,,,,,
,,,,,,,,wakenri,,,,,,
,,,,wakenri,,,,,,,,,,
,,,,,,,,warâpe,,,,,,
,,,,warâpe,,,,,,,,,,
,,,adâjito,,,,,,,,,,,
,,,,,,,kydatânry,,,,,,,
,,,,waone,,,,,,,,,,
,,,awârâpe,,,,,,,,,,,
,,,agâka,,,,,,,,,,,
,,,,wâgâka,,,,,,,,,,
,,,amidyly,,,,,,,,,,,
,,,até,,,,,,,,,,,
,,,aguine,,,,,,,,,,,
,,,,,,,,,manâto,,,,,
,,,,,,manâto,,,,,,,,
,,,arâne,,,,,,,,,,,
,,,,,,,,warâne,,,,,,
,,,,warâne,,,,,,,,,,
,,,,,,munru,,,,,,,,
,,,,,,,kydatogue,,,,,,,
,,,,,,,,,marcos,,,,,
,,,,,,marcos,,,,,,,,
,,,aripiem,,,,,,,,,,,
,,,aieniem,,,,,,,,,,,
,,,anjuam,,,,,,,,,,,
,,,,,,,,,mariaram,,,,,
,,,anjuram,,,,,,,,,,,
,,,,,,merâma,,,,,,,,
,,,augusto,,,,,,,,,,,
,,,,,,mah,,,,,,,,
,,,aripi,,,,,,,,,,,
,,,aser,,,,,,,,,,,
,,,,,,,,,makabyra,,,,,
,,,azagâpe,,,,,,,,,,,
,,,,,,,,,,myarailâ,,,,
,,,,,myarailâ,,,,,,,,,
,,,,,,,,,matate,,,,,
,,,,,,matate,,,,,,,,
,,,,,,melqui,,,,,,,,
,,,,,,,,,matias,,,,,
,,,,,,matias,,,,,,,,
,,,,,,,,,matatias,,,,,
,,,amós,,,,,,,,,,,
,,,,,,maate,,,,,,,,
,,,adi,,,,,,,,,,,
,,,,,,meleá,,,,,,,,
,,,,,,,,,maná,,,,,
,,,,,,mená,,,,,,,,
,,,,,,,,,matatá,,,,,
,,,,,,matatá,,,,,,,,
,,,admim,,,,,,,,,,,
,,,arni,,,,,,,,,,,
,,,,,,,,,maalalel,,,,,
,,,awidyse,,,,,,,,,,,
,,,,,,meio,,,,,,,,
,,,,,,,,,,,,,,duakâ
,,,aieta,,,,,,,,,,,
,,,aieto,,,,,,,,,,,
,,,ayepyra,,,,,,,,,,,
,,,,wakeduo,,,,,,,,,,
,,,apano,,,,,,,,,,,
,,,aguera,,,,,,,,,,,
,,,,,,,,,,,,,,dois
,,,,,,,,,,,,,levita,
,,,,,,,,,marta,,,,,
,,,,,,marta,,,,,,,,
,,,arruda,,,,,,,,,,,
,,,,,,,,,massa,,,,,
,,,,,,massa,,,,,,,,
,,,,wâgâma,,,,,,,,,,
,,,,,,mesaram,,,,,,,,
,,,aguilâ,,,,,,,,,,,
,,,,,,,,waunloma,,,,,,
,,,aiekâne,,,,,,,,,,,
,,,adaguho,,,,,,,,,,,
,,,,,,,,,,,,,,dezoito
,,,adubu,,,,,,,,,,,
,,,atâen,,,,,,,,,,,
,,,,,,,,,mantâen,,,,,
,,,,,,mantâen,,,,,,,,
,,,arane,,,,,,,,,,,
,,,,,mydâpamo,,,,,,,,,
,,,,,,,,,,,,,lelâpa,
,,,adyetuo,,,,,,,,,,,
,,,akadâmo,,,,,,,,,,,
,,,apâdyby,,,,,,,,,,,
,,,aietoem,,,,,,,,,,,
,,,,winase,,,,,,,,,,
,,,,,,minase,,,,,,,,
,,,,,myinanry,,,,,,,,,
,,,,,,myguemo,,,,,,,,
,,,,,,,,,,,,,,deve
,,,awituo,,,,,,,,,,,
,,,,,,mutu,,,,,,,,
,,,,,,modobe,,,,,,,,
,,,awyarâ,,,,,,,,,,,
,,,atonlo,,,,,,,,,,,
,,,aimâ,,,,,,,,,,,
,,,aitonze,,,,,,,,,,,
,,,,,,,,,,,,,,deusma
,,,,,,,,,,,,,,davigue
,,,,,,,,,,,,,,deusdâ
,,,,,,mâkâem,,,,,,,,
,,,,,,muralha,,,,,,,,
,,,,,,,,warâram,,,,,,
,,,,warâram,,,,,,,,,,
,,,,,,metros,,,,,,,,
,,,adataen,,,,,,,,,,,
,,,,,,,,,,,,,,donroka
,,,,,,merâlâ,,,,,,,,
,,,,,,,,,,,,,lelâlâmy,
,,,,,,,,,,,,,,duaxilâ
,,,,watoam,,,,,,,,,,
,,,,,,matoam,,,,,,,,
,,,,,,mâentuo,,,,,,,,
,,,aitoam,,,,,,,,,,,
,,,ananolâ,,,,,,,,,,,
,,,,,,mâenyly,,,,,,,,
,,,aiemâlâ,,,,,,,,,,,
,,,,,,mutumo,,,,,,,,
,,,,,,,,warâpeom,,,,,,
,,,,warâgue,,,,,,,,,,
,,,araparu,,,,,,,,,,,
,,,adâituo,,,,,,,,,,,
,,,,,,maná,,,,,,,,
,,,,,,,,,manágue,,,,,
,,,,,,manágue,,,,,,,,
,,,,,,mâenypa,,,,,,,,
,,,,,,,,warâarâ,,,,,,
,,,,warâarâ,,,,,,,,,,
,,,,,,mok,,,,,,,,
,,,,,,,,,matomoam,,,,,
,,,atomoam,,,,,,,,,,,
,,,aguimo,,,,,,,,,,,
,,,awipyra,,,,,,,,,,,
