sime,bal,d,da,le,a,ab,ku,i,o,su,je,kuy,m,ma,cekawẽ,jekawẽ,ekawẽ,om,im,wuyed,mat,cekaw,jekaw,ekaw,cr,ceka,jeka,eka,c,j
,,,,,,,,iyũ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iayũ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyayũ,,,,,,,,,,,,,,,,,,
,,,,,,,,,oayũ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cayũ,
,,,,,,,,,,,jejeayũ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyjeayũ,,,,,,,,,,,,,,,,,,
,,,,,,,kuyjeayũ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekat,,
,,,,,,,,it,,,,,,,,,,,,,,,,,,,,,,
,,,,,at,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekat,,,
,,,,,,,,,ot,,,,,,,,,,,,,,,,,,,,,
,,,dat,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jat
,,,,,,,,iat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyat,,,,,,,,,,,,,,,,,,
,,dat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,
,,,,,,,,,oat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewat,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iwat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owatwat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,
,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je
,,,,,,,,,oe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce,
,,,,,,,,ie,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixe,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jexe,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oxe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,suiwat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeiwat,,,,,,,,,,,,,,,,,,,
,,diwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oiwat,,,,,,,,,,,,,,,,,,,,,
,,dop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ajop,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sujop,,,,,,,,,,,,,,,,,,,,
,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,jekawẽn,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ekawẽn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cekawẽn,,,,,,,,,,,,,,,
,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,
,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ma,,,,,,,,,,,,,,,,,
,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,aba,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jea,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja
,,,,,,,,,,sui,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jei,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oi,,,,,,,,,,,,,,,,,,,,,
,,,,,,abi,,,,,,,,,,,,,,,,,,,,,,,,
,,di,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,davi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,levi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,davi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dak,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ak,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kuk,,,,,,,,,,,,,,,,,,,,,,,
,,dak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeak,,,,,,,,,,,,,,,,,,,
simeão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,leão,,,,,,,,,,,,,,,,,,,,,,,,,,
simeaão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,balaão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abraão,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,abraão,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeeg,,,,,,,,,,,,,,,,,,,
,,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,meg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeg
,,dit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebit,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekay,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekay,,
,,,,,,,kuy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cekay,,,,
,,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,muy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omuy,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juy
,,,,,auy,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuy,
,,,,,,,,,,,,,,,,,,,imuy,,,,,,,,,,,
,,,,,,,,,,sunuy,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,onuy,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jenuy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,osunuy,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jedop,,,,,,,,,,,,,,,,,,,
,,,,,,,,,osodop,,,,,,,,,,,,,,,,,,,,,
,,,,,,abuyũ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,abuyũ,,,,,,,,,,,,,,,,,,,,,,,,,
,,dobuyũ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sute,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ite,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibũrũ,,,,,,,,,,,,,,,,,,,,,,
,balaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,isaque,,,,,,,,,,,,,,,,,,,,,,
,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cay,
,,,,,,,,,,,jebay,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacó
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judá
,,,,,,,,,oxi,,,,,,,,,,,,,,,,,,,,,
,,,,,axi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekaxi,,
,,,,,,,,,,,jexi,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixi,,,,,,,,,,,,,,,,,,,,,,
,,,,,am,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,om,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekam,,
,,,,,,,,im,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jom
,,,,,arão,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jabe
,,,,,amom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jede,,,,,,,,,,,,,,,,,,,
,,,,,ade,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jede
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cede,
,,,,,,,,,obede,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jessé,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jessé
,,,,,,,,iẽn,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,suẽn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ekawẽn,,,,,,
,,,,,,,,,,,jeẽn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cekawẽn,,,,,,,,
,,,,,,,,,oẽn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imẽn,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,jekawẽn,,,,,,,
,,,,,,,,imẽn,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyibit,,,,,,,,,,,,,,,,,,
,,,,,,,,,oibit,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kuyibit,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekat,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukat,,,,,,,,,,,,,,,,,,,,,,,
,,,dakat,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okukat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekukat,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikukat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukukat,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oba,,,,,,,,,,,,,,,,,,,,,
,,,,,aba,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeba,,,,,,,,,,,,,,,,,,,
,,,,,,,,iba,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekaba,,,
,,,,,,,,,,,,,,,,,,,,,matias,,,,,,,,,
,,,,,,abias,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuk,
,,duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juk
,,,,,,,,,,,,,,mabuk,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joão
,,,,,abias,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,asa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,josafá
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jorão
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jotão
,,,,,acaz,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,manassés,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,josias
,,,,,,,,,,,jeconias,,,,,,,,,,,,,,,,,,,
,,,,,,abel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,israel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibitbit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ian,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iwan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,supi,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,opi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ipi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeipi,,,,,,,,,,,,,,,,,,,
,,dujowat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyje,,,,,,,,,,,,,,,,,,
,,,,,aje,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeje,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oje,,,,,,,,,,,,,,,,,,,,,
,,,,,abel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abiúde,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,abiúde,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aquim,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,azor,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,matã,,,,,,,,,
,,,,,,,,,,,,,,matã,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,matã,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,josé
,,,,,,,,,,,,,,maria,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,maria,,,,,,,,,,,,,,,,,
,,,,,,,,itop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebutet,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibutet,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obutet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyap,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeap,,,,,,,,,,,,,,,,,,,
,,,,,,,,iap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,maap,,,,,,,,,,,,,,,,
,,,,,,,,,oap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omap,,,,,,,,,,,,
,,,,,apap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekapap,,,
,,dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,idip,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,odip,,,,,,,,,,,,,,,,,,,,,
,,,,,adip,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mũn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imũn,,,,,,,,,,,
,,,,,,,,imũn,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jemũn,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibumũn,,,,,,,,,,,,,,,,,,,,,,
,,,,,awap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewap,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imõg,,,,,,,,,,,
,,,,,,,,,,,,,mõg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cõg,
,,,,,,,,,,,,,,,,,,omõg,,,,,,,,,,,,
,,,,,,,,,oam,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,
,,,,,,,,iam,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iboam,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,itaybit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jetaybit,,,,,,,,,,,,,,,,,,,
,,,,,,,,icẽmat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,isũsũn,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,osũsũn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imusũsũn,,,,,,,,,,,
,,,,,,,,,,,,,musũsũn,,,,,,,,,,,,,,,,,
,,,,,apyũ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibun,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jetabun,,,,,,,,,,,,,,,,,,,
,,,,,,,,itabun,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iye,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imẽnpuye,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imu,,,,,,,,,,,
,,du,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cu,
,,,,,,,,,,,,,,,,,,omu,,,,,,,,,,,,
,,,,,,,,,,,,,mu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju
,,,,,,abu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeu,,,,,,,,,,,,,,,,,,,
,,,,,abu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,subu,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jẽm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cẽm,
,,,,,arẽm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojuy,,,,,,,,,,,,,,,,,,,,,
,,,,,ajuy,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekawẽn,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cekawẽn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekawẽn,,,
,,,,,,,,,,,jekawẽn,,,,,,,,,,,,,,,,,,,
,,dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojot,,,,,,,,,,,,,,,,,,,,,
,,,,,ajot,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijẽm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jejẽm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojẽm,,,,,,,,,,,,,,,,,,,,,
,,,,,ajẽm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oajẽm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jajẽm
,,,,,,,,,,,jexey,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jexeyxey,,,,,,,,,,,,,,,,,,,
,,,,,acat,,,,,,,,,,,,,,,,,,,,,,,,,
,,diwacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oju,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iju,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeju,,,,,,,,,,,,,,,,,,,
,,,,,aju,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewadip,,,,,,,,,,,,,,,,,,,
,,,,,,,,iwadip,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owadip,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okatkat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,jekawen,,,,,,,
,,,,,,,,,,,,,,,,,,,imen,,,,,,,,,,,
,,,,,,,,ien,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebuten,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obuten,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibuten,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,imõg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,omõg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jemõg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judeuyũ
,,,,,awi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cewi,
,,,,,,,,ikẽrẽat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ipiat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,opiat,,,,,,,,,,,,,,,,,,,,,
,,,,,ajoap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixim,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebapuk,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibapuk,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,mabapuk,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cebapuk,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jebapuk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cekawẽn,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jekawẽn
,,,,,,,,,,,,,,,,,,omuwẽn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imuwẽn,,,,,,,,,,,
,,,,,,,,,,,,,muwẽn,,,,,,,,,,,,,,,,,
,,,,,,,kukayũ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iag,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeag,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jag
,,dag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apẽn,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeya,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oya,,,,,,,,,,,,,,,,,,,,,
,,,,,aya,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mũg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cũg,
,,,,,,,,,,,jecũg,,,,,,,,,,,,,,,,,,,
,,,,,,,,icũg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abicũg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,opicũg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,isop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jesop,,,,,,,,,,,,,,,,,,,
,,,,,,,,iesop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jesop
,,,,,ayacat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okatkan,,,,,,,,,,,,,,,,,,,,,
,,,dakatkan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aypan,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaypan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juat
,,,,,,abuat,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,isuat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekap,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okap,,,,,,,,,,,,,,,,,,,,,
