bal,is,bar,ab,a,da,le,w,n,ha,en,h,d,c,cr
,,,,,,,,,,,hoka,,,
,,,,aoka,,,,,,,,,,
,,,,,,,,,hati,,,,,
,,,,,,,,,,enexe,,,,
,,,,,,,wexe,,,,,,,
,,,,,,,,nexe,,,,,,
,,,,,,,,,,,hexe,,,
,,,,,,,,,hana,,,,,
,,,,ana,,,,,,,,,,
,,,,,,,,,hata,,,,,
,,,,,,,,,,,,,,creta
,,,,,,,weta,,,,,,,
,,,,aoseta,,,,,,,,,,
,,,,,,,,,,enaoseta,,,,
,,,abias,,,,,,,,,,,
,,,,,,,,,hane,,,,,
,,,,,,,,,,,hanityo,,,
,,,,abias,,,,,,,,,,
,,,,asa,,,,,,,,,,
,,,,acaz,,,,,,,,,,
,,,abel,,,,,,,,,,,
,,,,abel,,,,,,,,,,
,isabel,,,,,,,,,,,,,
,,,abiúde,,,,,,,,,,,
,,,,abiúde,,,,,,,,,,
,,,,aquim,,,,,,,,,,
,,,,azor,,,,,,,,,,
,,,,,,,,,,enoque,,,,
,,,,,,,,natã,,,,,,
,isene,,,,,,,,,,,,,
,,,,,,,,,haxanene,,,,,
,,,,,,,,natyo,,,,,,
,,,,,,,,,,,hatyo,,,
,,,,,,,,,,enore,,,,
,,,,,,,,nere,,,,,,
,,,,anere,,,,,,,,,,
,,,,,,,,,hahenere,,,,,
,,,,,,,,,hakare,,,,,
,,,,,,,,nikare,,,,,,
,,,,akerexe,,,,,,,,,,
,,,,,,,,,hakaha,,,,,
,,,,,,,,,,,hakaha,,,
,,,,,,,,niya,,,,,,
,,,,,,,,,,,hiya,,,
,,,,,,,wiya,,,,,,,
,,,,,,,,,haiya,,,,,
,,,,,,,wijiya,,,,,,,
,,,,,,,,,,eneha,,,,
,,,,,,,,,hareha,,,,,
,,,,,,,,,,,hareha,,,
,,,,,,,,,,,hiyaha,,,
,,,,,,,wahere,,,,,,,
,,,,,,,,,,,hitiya,,,
,,,,,,,,,,,hita,,,
,,,,,,,,nita,,,,,,
,,,,,,,wita,,,,,,,
,,,,anita,,,,,,,,,,
,,,,,,,,,hatita,,,,,
,,,,,,,witita,,,,,,,
,,,,,,,,,hahitita,,,,,
,,,,,,,,,halo,,,,,
,,,,,,,,,,,halo,,,
,,,,,,,,nohare,,,,,,
,,,,,,,,,haokene,,,,,
,,,,aokene,,,,,,,,,,
,,,,,,,,nisa,,,,,,
,,,,,,,wisa,,,,,,,
,,,,aisa,,,,,,,,,,
,,,,,,,,,haisa,,,,,
,,,,,,,,,,,hisa,,,
,,,,,,,,naisa,,,,,,
,,,,,,,,,,,haisa,,,
,,,,,,,,,hakakoa,,,,,
,,,,,,,,nehare,,,,,,
,,,,,,,,,hakita,,,,,
,,,,aokita,,,,,,,,,,
,,,,,,,,,haokita,,,,,
,,,,,,,,,,,hiyeta,,,
,,,,,,,,,,,,,creta,
,,,,,,,,,hareta,,,,,
,,,,,,,,,haheta,,,,,
,,,,,,,,naheta,,,,,,
,,,,,,,waheta,,,,,,,
,,,,,,,,,,,haheta,,,
,,,,,,,,,,enaheta,,,,
,,,,aowita,,,,,,,,,,
,,,,,,,,,,,hakita,,,
,,,,,,,,nakita,,,,,,
,,,,ala,,,,,,,,,,
,,,,anjo,,,,,,,,,,
,,,,,,,,,,,hana,,,
,,,,,,,womana,,,,,,,
,,,,,,,,,,,homana,,,
,,,,,,,,,,enomana,,,,
,,,,,,,,,haomana,,,,,
,,,,ako,,,,,,,,,,
,,,,,,,,,,enako,,,,
,,,,,,,,,hanako,,,,,
,,,,,,,,,haxa,,,,,
,,,,axa,,,,,,,,,,
,,,,,,,,,,,hexa,,,
,,,,,,,,nexa,,,,,,
,,,,,,,wexa,,,,,,,
,,,,,,,,,,,hiye,,,
,,,,,,,,niye,,,,,,
,,,,,,,,,hahiye,,,,,
,,,,awa,,,,,,,,,,
,,,,,,,,nane,,,,,,
,,,,,,,,,,,hane,,,
,,,,,,,,,haenane,,,,,
,,,,,,,,,hawenane,,,,,
,,,,,,,,nisene,,,,,,
,,,,aisene,,,,,,,,,,
,,,,,,,,,,,hisene,,,
,isaite,,,,,,,,,,,,,
,,,,,,,,,,enaite,,,,
,,,,,,,,nisaite,,,,,,
,,,,aisaite,,,,,,,,,,
,,,,,,,,,hase,,,,,
,,,,aose,,,,,,,,,,
,,,,,,,,,,enose,,,,
,,,,,,,,,,,hokose,,,
,,,,,,,,,hamokose,,,,,
,,,,anaite,,,,,,,,,,
,,,,,,,,nika,,,,,,
,,,,,,,,,hatene,,,,,
,,,,atyoite,,,,,,,,,,
,,,,,,,,,hatyoite,,,,,
,,,,,,,,,,,hena,,,
,,,,,,,,,hahena,,,,,
,,,,,,,,,,,hehena,,,
,isehena,,,,,,,,,,,,,
,,,,,,,wehena,,,,,,,
,,,,,,,,nehena,,,,,,
,,,,,,,,,haliti,,,,,
,,,,,,,,,,,haliti,,,
,,,,,,,,,,,hata,,,
,,,,atya,,,,,,,,,,
,,,,,,,,,hatya,,,,,
,,,,,,,,notya,,,,,,
,,,,,,,,,,,hotya,,,
,,,,,,,,nitere,,,,,,
,,,,,,,,neheta,,,,,,
,iseheta,,,,,,,,,,,,,
,,,,akeheta,,,,,,,,,,
,,,,akere,,,,,,,,,,
,,,,,,,,nakere,,,,,,
,,,,,,,,niraine,,,,,,
,,,,,,,,,hairaine,,,,,
,,,,,,,wiraine,,,,,,,
,,,,,,,,,,,hiraine,,,
,isoare,,,,,,,,,,,,,
,,,,,,,,nonita,,,,,,
,,,,,,,,,,,honita,,,
,,,,,,,wonita,,,,,,,
,,,,,,,,,,enonita,,,,
,,,,,,,,,,,hiyexe,,,
,,,,,,,waiyexe,,,,,,,
,,,,,,,,,,enanekoa,,,,
,,,,,,,,nanekoa,,,,,,
,,,,,,,wiyako,,,,,,,
,,,,aniya,,,,,,,,,,
,,,,,,,,,,enaose,,,,
,,,,akereta,,,,,,,,,,
,,,,akore,,,,,,,,,,
,,,,,,,,niyene,,,,,,
,,,,,,,,,,,hiyene,,,
,,,,,,,,,haoti,,,,,
,,,,,,,,,,,hekoti,,,
,,,,,,,,,haretya,,,,,
,,,,,,,,,,,haretya,,,
,,,,,,,,nima,,,,,,
,,,,,,,wima,,,,,,,
,,,,,,,,,haima,,,,,
,,,,,,,,,,,hima,,,
,,,,,,,,,,,hikoane,,,
,,,,,,,,,,,hati,,,
,,,,ali,,,,,,,,,,
,,,,,,,,,hali,,,,,
,,,,,,,,,,enali,,,,
,,,abali,,,,,,,,,,,
,,,,,,,,,,,hali,,,
,,,,,,,,nali,,,,,,
,,,,,,,,,hades,,,,,
,,,,,,,,,,,herodes,,,
,,,,akiya,,,,,,,,,,
,,,,,,,wini,,,,,,,
,,,,,,,,,hajikini,,,,,
,,,,,,,,,,enanai,,,,
,,,,,,,,,haiyanai,,,,,
,,,,,,,,,,,hinai,,,
,,,,,,,,,,enoreta,,,,
,,,,aokaha,,,,,,,,,,
,,,,axaha,,,,,,,,,,
,,,,,,,,nexaha,,,,,,
,,,,aliyako,,,,,,,,,,
,,,,,,,,nase,,,,,,
,,,,,,,,,,,hase,,,
,,,,,,,waiya,,,,,,,
,isaiya,,,,,,,,,,,,,
,,,,,,,,,,enaiya,,,,
,,,,,,,,,,,haiya,,,
,,,,,,,wiyaiya,,,,,,,
,,,,,,,,,,,hiyaiya,,,
,,,,,,,wisoa,,,,,,,
,,,,,,,,,,,hisoa,,,
,,,,ahene,,,,,,,,,,
,isahene,,,,,,,,,,,,,
,,,,axahene,,,,,,,,,,
,,,,,,,watya,,,,,,,
,,,,,,,,,,,hatya,,,
,,,,,,,,nira,,,,,,
,,,,,,,waokita,,,,,,,
,,,,,,,,,,,haokita,,,
,,,,,,,,naokita,,,,,,
,,,,,,,,,hatahi,,,,,
,,,,,,,,,hakiti,,,,,
,,,,akiti,,,,,,,,,,
,,,,,,,wiso,,,,,,,
,,,,,,,,,,,hiso,,,
,,,,akehena,,,,,,,,,,
,,,,aohena,,,,,,,,,,
,,,,,,,,,haohena,,,,,
,,,,,,,,,,,harenai,,,
,israel,,,,,,,,,,,,,
,,,,awisa,,,,,,,,,,
,,,,,,,,,hawawaha,,,,,
,,,,,,,,,,,heko,,,
,,,,,,,,,,enakoaha,,,,
,,,,akai,,,,,,,,,,
,,,,,,,wiyakai,,,,,,,
,,,,,,,,,,,hiyakai,,,
,,,,,,,,nohiye,,,,,,
,,,,,,,wiyane,,,,,,,
,,,,,,,,niyane,,,,,,
,,,,,,,,,,,hiyane,,,
,,,,,,,,,hatawa,,,,,
,,,,,,,,,,,hatawa,,,
,,,,,,,wahita,,,,,,,
,isahita,,,,,,,,,,,,,
,,,,,,,,,,,haokene,,,
,,,,,,,,naokene,,,,,,
,,,,,,,,noxani,,,,,,
,,,,,,,waiyene,,,,,,,
,,,,ahoti,,,,,,,,,,
,,,,,,,,,,,hao,,,
,,,,,,,waiyaha,,,,,,,
,,,,,,,,,,,hakare,,,
,,,,,,,wakare,,,,,,,
,,,,,,,,,hatyako,,,,,
,,,,,,,,,,,hatyako,,,
,,,,,,,,,halise,,,,,
,,,,atyaha,,,,,,,,,,
,,,,,,,watyaha,,,,,,,
,,,,,,,,natyaha,,,,,,
,,,,,,,,,,,hareta,,,
,,,,airaxe,,,,,,,,,,
,,,,akatya,,,,,,,,,,
,,,,,,,wakatya,,,,,,,
,,,,,,,,,,enakoha,,,,
,,,,,,,,,,,hitaha,,,
,,,,,,,,nitaha,,,,,,
,,,,ahitaha,,,,,,,,,,
,,,,,,,,,haho,,,,,
,,,,aho,,,,,,,,,,
,,,,,,,,,,,haho,,,
,,,,,,,,,,enaho,,,,
,,,,,,,,naho,,,,,,
,,,,alitare,,,,,,,,,,
,,,,,,,,,,,hahena,,,
,isoahena,,,,,,,,,,,,,
,,,,,,,,nahe,,,,,,
,,,,,,,,,,enahe,,,,
,,,,,,,wisaona,,,,,,,
,,,,,,,,,,,hisaona,,,
,,,,aiheta,,,,,,,,,,
,,,,,,,,nityani,,,,,,
,,,,,,,,,,,hityani,,,
,,,,alita,,,,,,,,,,
,,,,,,,,,halita,,,,,
,,,,,,,,nalita,,,,,,
,,,,,,,,,,,halita,,,
,,,,,,,,,,enalita,,,,
,,,,aoheta,,,,,,,,,,
,,,,,,,,,haoheta,,,,,
,,,,,,,,,hasaka,,,,,
,,,,,,,,,hahahena,,,,,
,,,,aisaha,,,,,,,,,,
,,,,aosenai,,,,,,,,,,
,,,,,,,,,hanama,,,,,
,,,,,,,,,,,hinama,,,
,,,,,,,wanone,,,,,,,
,,,,,,,,,haliyita,,,,,
,,,,,,,wainiha,,,,,,,
,isoaheta,,,,,,,,,,,,,
,,,,,,,waini,,,,,,,
,,,,,,,,,hakamane,,,,,
,,,,akahena,,,,,,,,,,
,,,,,,,,,haxaka,,,,,
,,,,,,,,,hanexe,,,,,
,,,,,,,,,,,hanexe,,,
,,,,,,,waira,,,,,,,
,,,,,,,,,haré,,,,,
,,,,,,,,,,,haré,,,
,,,,,,,,nazaré,,,,,,
,,,,,,,wiraene,,,,,,,
,,,,,,,,,,,hiraene,,,
,,,,,,,,niraene,,,,,,
,,,,,,,,,hairaene,,,,,
,,,,,,,,,hakaka,,,,,
,,,,,,,,,,,hokaka,,,
,,,,,,,,,,,hakiti,,,
,,,,,,,,nakiti,,,,,,
,,,,,,,,,,,hománe,,,
,,,,,,,wománe,,,,,,,
,,,,,,,,,,,hijita,,,
,,,,,,,,,haijita,,,,,
,,,,,,,,nijita,,,,,,
,,,,aijita,,,,,,,,,,
,,,,awijita,,,,,,,,,,
,,,,,,,,,hamohena,,,,,
,,,,,,,,,,,,,camelo,
,,,,,,,,niyali,,,,,,
,,,,adão,,,,,,,,,,
,,,,alitere,,,,,,,,,,
,,,,,,,wisoma,,,,,,,
,,,,,,,,,,,hisoma,,,
,,,,,,,,,halakisa,,,,,
,,,,,,,,,haihare,,,,,
,,,,,,,wihiye,,,,,,,
,,,,,,,,,,,hihiye,,,
,,,,,,,,,hatyaite,,,,,
,,,,,,,,nikisa,,,,,,
,,,,,,,,nisaiya,,,,,,
,,,,,,,,,haisaiya,,,,,
,,,,,,,,nomita,,,,,,
,,,,aikotya,,,,,,,,,,
,,,,,,,,,haikotya,,,,,
,,,,,,,,,hatyaose,,,,,
,,,,,,,,nitini,,,,,,
,,,,akaiya,,,,,,,,,,
,,,,,,,,,,eneya,,,,
,,,,,,,,,hareya,,,,,
,,,,,,,,,,,hareya,,,
,,,,,,,,,,,hatene,,,
,,,,abali,,,,,,,,,,
,,,,,,,,,haware,,,,,
,,,,,,,,,,,haware,,,
,,,,,,,,,,,hate,,,
,,,,,,,,,hakate,,,,,
,,,,,,,,,,,hikoa,,,
,,,,,,,,,hatyoiya,,,,,
,,,,,,,,,hakitere,,,,,
,,,,,,,,nokoa,,,,,,
,,,,,,,,,,enokoa,,,,
,,,,,,,,,,enokoata,,,,
,,,,,,,,,,,haoka,,,
,,,,,,,waoka,,,,,,,
,,,,,,,,naoka,,,,,,
,,,,,,,,nakaira,,,,,,
,,,,,,,,,,enakaira,,,,
,,,,,,,wenati,,,,,,,
,,,,,,,,noloka,,,,,,
,,,,,,,,,haeho,,,,,
,,,,anjonai,,,,,,,,,,
,,,,aiko,,,,,,,,,,
,,,,,,,,,haxaiko,,,,,
,,,,,,,,,,,haxaiko,,,
,,,,,,,,,hakaheha,,,,,
,,,,,,,,,hamokita,,,,,
,,,,,,,,,,,heno,,,
,,,,,,,,,,enoakiya,,,,
,,,,,,,,,hatyaiya,,,,,
,,,,,,,,,hamaniya,,,,,
,,,,,,,,naohena,,,,,,
,,,,,,,waohena,,,,,,,
,,,,,,,,,,,haohena,,,
,,,,aliya,,,,,,,,,,
,,,,,,,,,haliya,,,,,
,,,,,,,,,,,haliya,,,
,,,,,,,,naliya,,,,,,
,,,,,,,,naftali,,,,,,
,,,,akoiya,,,,,,,,,,
,,,,,,,,,hatyonai,,,,,
,,,,andré,,,,,,,,,,
,,,,,,,,nimi,,,,,,
,,,,,,,,noximi,,,,,,
,,,,,,,,notita,,,,,,
,,,,,,,,,,,hotita,,,
,,,,,,,,,haotita,,,,,
,,,,,,,wotita,,,,,,,
,,,,,,,,,,enexeha,,,,
,,,,,,,,,hanexeha,,,,,
,,,,,,,,,,,hanako,,,
,,,,,,,wakaita,,,,,,,
,,,,alatya,,,,,,,,,,
,,,,,,,,nolatya,,,,,,
,,,,,,,,,harenae,,,,,
,,,,,,,,,,,harenae,,,
,,,,,,,,,haxema,,,,,
,,,,,,leãoxa,,,,,,,,
,,,,,,,,,,,hisoaka,,,
,,,,,,,,,,,henose,,,
,,,,,,,,,hahaliya,,,,,
,,,,,,,waiye,,,,,,,
,,,,,,,wexenai,,,,,,,
,,,,,,,,,,enexenai,,,,
,,,,ahitere,,,,,,,,,,
,,,,,,,,,,,hitahi,,,
,,,,,,,witahi,,,,,,,
,,,,,,,,,harehena,,,,,
,,,,,,,,,,,henaha,,,
,,,,aokare,,,,,,,,,,
,,,,,,,,,haokare,,,,,
,,,,,,,,,,,hatita,,,
,,,,,,,watita,,,,,,,
,,,,anala,,,,,,,,,,
,,,,,,,,notyoa,,,,,,
,,,,,,,,niraha,,,,,,
,,barohe,,,,,,,,,,,,
,,,,,,,waikohe,,,,,,,
,,,,ahotare,,,,,,,,,,
,,,,,,,,,hawaiye,,,,,
,,,,,,,,,,,hawaiye,,,
,,,,,,,,nawaiye,,,,,,
,,,,,,,wawaiye,,,,,,,
,,,,,,,,,hasema,,,,,
,,,,,,,wasema,,,,,,,
,,,,,,,,,,,hasema,,,
,,,,,,,,nasema,,,,,,
,,,,akaite,,,,,,,,,,
,,,,,,,,,haxaiya,,,,,
,,,,,,,wexaiya,,,,,,,
,,,,,,,,nexaiya,,,,,,
,,,,,,,,,,,hexaiya,,,
,,,,,,,,,,,haoheta,,,
,,,,,,,,naoheta,,,,,,
,,,,,,,wikakoa,,,,,,,
,,,,,,,,,,,hikakoa,,,
,,,,ahotita,,,,,,,,,,
,,,,,,,wirae,,,,,,,
,,,,,,,,,,,hirae,,,
,,,,,,,,nirae,,,,,,
,,,,akota,,,,,,,,,,
,,,,atyali,,,,,,,,,,
,,,,,,,watyali,,,,,,,
,,,,,,,,,hafihini,,,,,
,,,,,,,,,,,háre,,,
,,,,,,,,,haháre,,,,,
,,,,,,,wiháre,,,,,,,
,,,,,,,,,,,hiháre,,,
,,,,,,,,,,enoreya,,,,
,,,,,,,waiyeta,,,,,,,
,,,,,,,,,hakiji,,,,,
,,,,,,,,,,,hakiji,,,
,,,,,,,wisonai,,,,,,,
,,,,,,,,naseta,,,,,,
,,,,,,,,,hakaseta,,,,,
,,,,,,,wahaiya,,,,,,,
,,,,,,,wataka,,,,,,,
,,,,,,,,,,,hiyose,,,
,,,,,,,,,halakoa,,,,,
,,,,,,,,,,,halakoa,,,
,,,,,,,,,hawataka,,,,,
,,,,,,,,,haikoli,,,,,
,,,,,,,,,,,haikoli,,,
,,,,,,,,,,enaikoli,,,,
,,,,,,,,naikoli,,,,,,
,,,,,,,,,hataika,,,,,
,,,,,,,,,,,hataika,,,
,,,,,,,,,hamokene,,,,,
,,,,,,,,,,,hehaika,,,
,,,,,,,,,hanase,,,,,
,,,,,,,,,,,hanase,,,
,,,,,,,,,haxehena,,,,,
,,,,axehena,,,,,,,,,,
,,,,axahena,,,,,,,,,,
,,,,anaiya,,,,,,,,,,
,,,,,,,,,,enoloxa,,,,
,,,,,,,,,,,holoxa,,,
,,,,,,,,noloxa,,,,,,
,,,,,,,,,haoloxa,,,,,
,,,,axita,,,,,,,,,,
,,,,,,,,,haxita,,,,,
,,,,,,,waxita,,,,,,,
,,,,,,,,naxita,,,,,,
,,,,,,,,,,,haxita,,,
,,,,,,,,níra,,,,,,
,,,,,,,,,,,haotita,,,
,,,,,,,,,hateneta,,,,,
,,,,,,,waiyita,,,,,,,
,,,,,,,,,hatyoaha,,,,,
,,,,,,,,,hahanako,,,,,
,isoahita,,,,,,,,,,,,,
,,,,,,,,,haki,,,,,
,,,,,,,,,,,haki,,,
,,,,,,,,,haiho,,,,,
,,,,,,,,,,,,,cirene,
,,,,,,,,,hamoka,,,,,
,,,,,,,,,,,hamoka,,,
,,,,,,,,namoka,,,,,,
,,,,,,,wamoka,,,,,,,
,,,,aokowi,,,,,,,,,,
,,,,,,,,,haokowi,,,,,
,,,,,,,,naokowi,,,,,,
,,,,,,,,,,,haokowi,,,
,,,,,,,waokowi,,,,,,,
,,,,,,,,,,,hekita,,,
,,,,aliye,,,,,,,,,,
,,,,,,,waiyese,,,,,,,
,,,,,,,,,,,hiyeya,,,
,,,,,,,waiyeya,,,,,,,
,,,,,,,,,,,hekota,,,
,,,,axareha,,,,,,,,,,
,,,,,,,,,hakareha,,,,,
,,,,,,,,,haimaha,,,,,
,,,,,,,,,,,haimaha,,,
,,,,aimatya,,,,,,,,,,
,,,,,,,,,haimatya,,,,,
,,,,,,,werane,,,,,,,
,,,,,,,,naliye,,,,,,
,,,,,,,waiyare,,,,,,,
,,,,akereya,,,,,,,,,,
,,,,,,,,,halonai,,,,,
,,,,,,,,,,,halise,,,
,,,,akonai,,,,,,,,,,
,,,,,,,waiyore,,,,,,,
,,,,,,,,,harira,,,,,
,,,,,,,,,,,harira,,,
,,,,ahoxa,,,,,,,,,,
,,,,alihena,,,,,,,,,,
,,,,,,,,noniti,,,,,,
,,,,,,,,niraeni,,,,,,
,,,,,,,,,hahana,,,,,
,,,,,,,,,,,hahana,,,
,,,,,,,winiti,,,,,,,
,,,,ahiti,,,,,,,,,,
,,,,,,,,nahiti,,,,,,
,,,,,,,,,hakahe,,,,,
,,,,,,,,,,,hakahe,,,
,,,,,,,,,,enoreha,,,,
,,,,,,,,,,enakota,,,,
,,,,,,,,,,,hijoíta,,,
,,,,,,,,nomani,,,,,,
,,,,,,,,,,,haxema,,,
,,,,,,,wiraeta,,,,,,,
,,,,,,,,niraeta,,,,,,
,,,,,,,,,,,hiraeta,,,
,,,,,,,,,,,hinaite,,,
,,,,,,,,nalite,,,,,,
,,,,,,,,,,,hihana,,,
,,,,,,,,nomaka,,,,,,
,,,,,,,,,hasero,,,,,
,,,,,,,,,,,hasero,,,
,,,,,,,,,,,hiseta,,,
,,,,,,,,,,enerore,,,,
,,,,,,,,nerore,,,,,,
,,,,,,,,,haserore,,,,,
,,,,,,,,,,,hoko,,,
,,,,,,,,,hahoko,,,,,
,,,,,,,,,,,hahoko,,,
,,,,,,,,,haretere,,,,,
,,,,,,,,,,,hiyema,,,
,,,,,,,wiyema,,,,,,,
,,,,aliyo,,,,,,,,,,
,,,,,,,,,,enoako,,,,
,,,,,,,,,hatyanai,,,,,
,,,,atyanai,,,,,,,,,,
,,,,,,,,,halitini,,,,,
,,,,,,,waxa,,,,,,,
,,,,,,,,,,,haxa,,,
,,,,,,,,naxa,,,,,,
,,,,,,,,natyaxa,,,,,,
,,,,,,,,,,,henota,,,
,,,,,,,,,,,hokoxa,,,
,,,,,,,,nisare,,,,,,
,,,,,,,,,,,hisare,,,
,,,,,,,,,haxerore,,,,,
,,,,,,,,nómane,,,,,,
,,,,,,,,,,enómane,,,,
,,,,,,,waikoa,,,,,,,
,,,,,,,,,,,haomana,,,
,,,,,,,,naokare,,,,,,
,,,,,,,,,,,haokare,,,
,,,,,,,waokare,,,,,,,
,,,,,,,,,,enaliha,,,,
,,,,,,,,,,enolo,,,,
,,,,,,,waitare,,,,,,,
,,,,,,,,,hatirise,,,,,
,,,,,,,,,,,hikahe,,,
,,,,,,,wikahe,,,,,,,
,,,,,,,,,,,hiniri,,,
,,,,,,,,,,,hikoata,,,
,,,,,,,,,hahiyeta,,,,,
,,,,,,,,nokahe,,,,,,
,,,,,,,,,hahekore,,,,,
,,,,,,,,,haloti,,,,,
,,,,,,,,,,,haloti,,,
,,,,alfeu,,,,,,,,,,
,,,,,,,,,,,,,canaã,
,,,,awaira,,,,,,,,,,
,,,,,,,,,,,,,cobre,
,,,,,,,,,hatane,,,,,
,,,,,,,,,,,hatane,,,
,,,,,,,,,hatyoako,,,,,
,,,,,,,waiyane,,,,,,,
,,,,axaliha,,,,,,,,,,
,,,,,,,,nirai,,,,,,
,,,,,,,,,,,hirai,,,
,,,,,,,wirai,,,,,,,
,,,,,,,,,,,himaira,,,
,,,,,,,,,hanamali,,,,,
,,,,akatita,,,,,,,,,,
,,,,,,,,,,,haoti,,,
,,,,,,,,nomi,,,,,,
,,,,,,,,,hahalo,,,,,
,,,,,,,,,,,hahalo,,,
,,,,,,,,,,,halonai,,,
,,,,,,,,,hakobone,,,,,
,,,,,,,,,,enorite,,,,
,,,,,,,,nokakoi,,,,,,
,,,,,,,,niraini,,,,,,
,,,,akiyata,,,,,,,,,,
,,,,,,,,,,,hotyali,,,
,,,,,,,,,,,haihare,,,
,,,,,,,,,hatiha,,,,,
,,,,,,,,,,,,,corazim,
,,,,,,,,nimere,,,,,,
,,,,,,,wehe,,,,,,,
,,,,,,,,niyehe,,,,,,
,,,,,,,,,haseriha,,,,,
,,,,,,,,,,enanae,,,,
,,,,,,,wikaoka,,,,,,,
,,,,,,,,,,,hikaoka,,,
,,,,,,,winali,,,,,,,
,,,,,,,,,,,hinali,,,
,isiniya,,,,,,,,,,,,,
,,,,abá,,,,,,,,,,
,,,,,,,,,haokaiya,,,,,
,,,,,,,wiheno,,,,,,,
,,,,amala,,,,,,,,,,
,,,,,,,,,hasemare,,,,,
,,,,,,,,,hatahiha,,,,,
,,,,,,,,,,,hakakoa,,,
,,,,,,,,,,enoakota,,,,
,,,,,,,,,,,hatahi,,,
,,,,,,,,,hasakene,,,,,
,,,,akoite,,,,,,,,,,
,,,,,,,,,,,hekoite,,,
,,,,,,,,,hatyoaho,,,,,
,,,,,,,watere,,,,,,,
,,,,alyako,,,,,,,,,,
,,,,,,,,,halyako,,,,,
,,,,,,,,,,,halyako,,,
,,,,,,,,,hanakota,,,,,
,,,,,,,witya,,,,,,,
,,,,,,,,,hafitya,,,,,
,,,,,,,,,,,hafitya,,,
,,,,,,,,neri,,,,,,
,iseri,,,,,,,,,,,,,
,,,,,,,waiyeri,,,,,,,
,,,,,,,wisonae,,,,,,,
,,,,akoreha,,,,,,,,,,
,,,,,,,,,hanamaki,,,,,
,,,,,,,,,hajako,,,,,
,,,,,,,,,,enajako,,,,
,,,,,,,,,,,hajako,,,
,,,,,,,,najako,,,,,,
,,,,,,,,nínive,,,,,,
,,,,,,,,nohani,,,,,,
,,,,,,,,,hanaka,,,,,
,,,,,,,,,,,hanaka,,,
,,,,,,,,,hateko,,,,,
,,,,,,,,,,,hateko,,,
,,,,,,,wiyaita,,,,,,,
,,,,,,,,,,,hiyaita,,,
,,,,,,,,,,,hátahi,,,
,,,,,,,,,,,henekoa,,,
,,,,,,,wenekoa,,,,,,,
,,,,,,,,,haxowaka,,,,,
,,,,,,,,,hatinae,,,,,
,isoareha,,,,,,,,,,,,,
,,,,,,,,nomite,,,,,,
,,,,,,,,,hatisa,,,,,
,,,,,,,,,,,hatisa,,,
,,,,,,,,,,,hakate,,,
,,,,,,,,,haiheha,,,,,
,,,,,,,,,,,haiheha,,,
,,,,,,,waexe,,,,,,,
,,,,,,,,netati,,,,,,
,,,,,,,,,,,hetati,,,
,,,,akitite,,,,,,,,,,
,,,,,,,,noxakai,,,,,,
,,,,,,,,nexaite,,,,,,
,,,,,,,,,,,hexaite,,,
,,,,,,,weroka,,,,,,,
,,,,,,,,,,,hanama,,,
